,NeuralAgent_Student17_200mAgent_rng.h5,NeuralAgent_BattleRoyal_rng.h5,NeuralAgent_Student1_200cAgent_rng.h5,NeuralAgent_Student13_200mAgent_rng.h5,NeuralAgent_Student19_200aAgent_rng.h5,NeuralAgent_Student26_200mAgent_rng.h5,NeuralAgent_Student19_200mAgent_rng.h5,NeuralAgent_Student16_200cAgent_rng.h5,NeuralAgent_Student24_200mAgent_rng.h5,NeuralAgent_Student1_200aAgent_rng.h5,NeuralAgent_Student24_200cAgent_rng.h5,NeuralAgent_Student13_200bAgent_rng.h5,NeuralAgent_Student1_200bAgent_rng.h5,NeuralAgent_Student17_200bAgent_rng.h5,NeuralAgent_Student13_200aAgent_rng.h5,NeuralAgent_AlwaysDefectAgent_rng.h5,NeuralAgent_Student23_200mAgent_rng.h5,NeuralAgent_Student26_200bAgent_rng.h5,NeuralAgent_Student26_200cAgent_rng.h5,NeuralAgent_Student16_200bAgent_rng.h5,NeuralAgent_Student21_200cAgent_rng.h5,NeuralAgent_Student22_200mAgent_rng.h5,NeuralAgent_Student19_200bAgent_rng.h5,NeuralAgent_Student24_200bAgent_rng.h5,NeuralAgent_Student2_200cAgent_rng.h5,NeuralAgent_TitF2tatAgent_rng.h5,NeuralAgent_RandomChoiceAgent_rng.h5,NeuralAgent_Student13_200cAgent_rng.h5,NeuralAgent_Student21_200aAgent_rng.h5,NeuralAgent_Student17_200aAgent_rng.h5,NeuralAgent_Student2_200aAgent_rng.h5,NeuralAgent_Student19_200cAgent_rng.h5,NeuralAgent_Student1_200mAgent_rng.h5,AlwaysDefectAgent,RandomChoiceAgent,Student13_200aAgent,Student13_200bAgent,Student13_200cAgent,Student13_200mAgent,Student16_200bAgent,Student16_200cAgent,Student17_200aAgent,Student17_200bAgent,Student17_200mAgent,Student19_200aAgent,Student19_200bAgent,Student19_200cAgent,Student19_200mAgent,Student1_200aAgent,Student1_200bAgent,Student1_200cAgent,Student1_200mAgent,Student21_200aAgent,Student21_200cAgent,Student22_200mAgent,Student23_200mAgent,Student24_200bAgent,Student24_200cAgent,Student24_200mAgent,Student26_200bAgent,Student26_200cAgent,Student26_200mAgent,Student2_200aAgent,Student2_200cAgent,TitF2tatAgent,TitFTatAgent
0,2.455,2.28,1.875,1.84,1.02,1.78,1.715,1.9,2.025,1.85,1.71,1.64,1.9,1.495,1.795,1.875,1.89,1.565,1.905,1.755,1.665,1.655,1.62,1.935,1.56,1.665,1.745,1.705,1.955,1.89,1.765,1.72,1.705,1.02,1.59,0.29,0.61,1.09,1.185,0.08,1.06,1.065,1.175,1.04,1.625,1.13,1.04,1.02,1.74,1.06,0.92,1.03,1.65,1.07,1.855,1.13,1.04,1.08,0.085,2.035,1.245,1.875,0.005,0.075,1.545,2.03
1,2.05,2.3,2.335,2.2,2.1,2.24,2.095,2.135,2.28,2.115,2.165,2.125,2.27,2.25,2.075,1.985,2.07,2.15,1.9,2.16,1.975,2.255,1.845,2.145,1.89,1.83,2.065,2.065,2.3,2.215,2.29,1.87,1.985,1.06,2.06,2.295,0.06,1.08,1.57,0.05,1.075,1.045,1.075,1.1,1.875,1.83,2.03,1.08,1.58,1.055,1.215,1.075,2.155,1.15,2.12,1.24,1.1,1.16,0.06,2.12,1.165,2.005,0.005,0.075,1.725,2.225
2,2.14,2.05,1.92,2.19,2.175,2.525,2.33,2.05,2.515,2.355,2.39,1.885,2.335,2.035,2.29,1.715,2.245,2.04,2.265,2.305,2.35,2.215,2.09,2.245,1.965,1.86,2.045,2.045,2.055,2.4,2.09,2.215,2.29,1.08,1.975,2.485,0.075,1.135,1.305,0.08,1.06,1.07,1.075,1.06,2.115,2.145,2.15,1.08,1.665,1.075,1.07,1.11,2.325,1.05,2.245,1.415,1.08,1.1,0.06,2.265,1.365,2.28,0.005,0.075,1.785,2.385
3,0.995,2.325,2.425,2.225,2.13,2.215,2.07,2.35,2.085,2.2,2.185,1.61,2.13,1.91,2.085,1.745,2.085,2.01,2.085,2.255,2.07,1.86,1.82,2.15,1.705,2.005,1.86,2.045,2.0,2.29,2.345,1.855,2.17,1.14,2.025,2.13,0.06,1.1,1.065,0.63,1.525,1.09,1.16,1.04,2.23,1.81,2.245,1.42,1.635,1.09,1.2,1.115,2.085,1.12,2.12,1.37,1.1,1.1,0.075,2.24,1.25,2.13,0.025,0.06,1.745,2.04
4,2.38,2.165,1.8,1.99,2.075,1.995,2.07,2.255,1.995,2.06,2.17,2.14,2.27,2.3,2.115,2.165,2.39,2.025,2.295,2.105,2.335,1.755,2.085,2.185,2.0,1.97,2.145,2.205,2.28,2.415,2.285,2.16,2.1,1.04,2.14,2.245,0.105,1.13,1.495,0.69,1.06,1.085,1.1,1.06,2.115,0.02,2.29,1.26,1.48,1.055,1.27,1.115,2.145,1.165,2.195,1.3,1.1,1.06,0.06,2.235,1.275,2.24,0.025,0.06,1.79,2.215
5,2.415,2.145,2.055,2.245,2.27,1.93,2.17,2.375,2.34,2.19,2.15,1.98,2.26,2.21,2.18,1.845,2.085,1.945,2.065,2.1,2.36,1.94,2.045,2.19,2.035,2.07,2.13,1.965,1.865,2.27,2.015,2.09,1.99,1.12,1.915,2.085,0.06,1.115,1.045,0.685,1.06,1.105,1.195,1.08,2.145,1.985,2.17,1.06,1.36,1.13,1.16,1.115,2.12,1.12,1.285,1.365,1.08,1.02,0.075,1.58,1.09,2.175,0.025,0.075,1.73,2.265
6,2.225,2.185,2.1,2.15,1.98,1.95,2.33,2.135,2.315,2.15,1.91,1.89,1.96,1.93,2.015,2.025,2.15,2.05,2.215,2.215,1.985,1.91,1.87,1.86,2.215,2.19,2.0,2.09,2.27,2.045,2.3,1.68,2.09,1.14,2.015,2.17,0.105,1.13,1.135,0.745,1.08,1.125,1.12,1.12,2.175,2.085,1.47,1.08,1.36,1.05,1.21,1.07,1.08,1.11,1.515,1.275,1.12,1.1,0.06,2.085,1.175,2.24,0.025,0.06,1.755,1.015
7,1.775,1.68,1.615,1.71,1.745,1.59,1.565,1.5,1.9,2.205,2.275,1.985,1.96,1.955,2.16,1.68,2.245,1.76,1.985,2.09,2.11,1.68,2.19,1.815,1.93,2.005,1.98,1.825,2.12,2.45,2.06,2.065,1.99,1.12,1.95,2.175,0.06,1.025,1.045,0.6,1.1,1.12,1.085,1.08,2.18,0.645,2.23,1.06,1.295,1.055,1.185,1.07,2.165,1.1,2.005,1.2,1.14,1.08,0.075,2.08,1.44,2.21,0.025,0.09,1.705,2.075
8,2.4,2.14,2.005,2.1,2.26,2.115,2.125,2.23,2.44,1.825,1.725,1.48,1.605,1.64,1.545,1.315,1.46,1.59,1.485,1.51,1.48,1.355,1.41,1.455,1.38,1.645,1.795,1.765,1.66,1.785,1.625,1.53,1.52,1.04,1.535,1.49,0.045,1.07,1.01,0.595,1.075,1.09,1.01,1.08,1.32,0.16,1.02,1.04,1.18,1.13,0.88,1.095,1.035,0.005,1.74,0.935,1.06,1.08,0.075,1.42,1.165,1.645,0.025,0.045,1.57,1.26
9,2.135,1.89,2.065,1.885,2.02,1.875,2.31,1.95,2.175,1.935,1.915,1.92,2.28,2.105,2.01,1.83,2.015,2.05,1.945,1.89,2.01,1.925,1.77,2.15,1.81,2.34,2.275,2.195,1.965,2.3,2.265,2.055,2.295,1.04,2.26,2.375,0.03,1.055,1.305,0.71,1.24,1.03,1.065,1.12,2.2,0.68,2.07,1.475,1.275,1.095,1.175,1.09,1.085,1.09,2.32,1.15,1.08,1.12,0.03,2.03,1.175,2.045,0.025,0.09,1.805,1.975
