,NeuralAgentOpMe_Student13_200mAgent_rng,Student13_200mAgent
0,1.745,2.595
1,1.715,2.74
2,1.52,2.57
3,1.54,2.415
4,1.53,2.63
5,1.58,2.38
6,1.645,2.695
7,1.81,2.585
8,1.69,2.74
9,1.845,2.795
10,1.72,2.495
11,1.735,2.66
12,1.82,2.72
13,1.575,2.6
14,1.915,2.715
15,1.835,2.785
16,1.875,2.825
17,1.735,2.785
18,1.875,2.7
19,1.885,2.76
20,2.035,2.81
21,1.975,2.825
22,1.855,2.73
23,2.11,2.885
24,1.925,2.75
25,2.11,2.835
26,2.05,2.875
27,1.945,2.795
28,2.04,2.79
29,1.925,2.825
30,2.02,2.845
31,2.055,2.88
32,1.99,2.815
33,1.965,2.84
34,2.07,2.87
35,1.955,2.855
36,1.995,2.895
37,2.0,2.9
38,1.995,2.895
39,2.015,2.915
40,1.975,2.85
41,1.95,2.85
42,1.93,2.855
43,1.985,2.885
44,1.97,2.895
45,1.93,2.83
46,1.9,2.8
47,1.875,2.775
48,1.885,2.81
49,1.865,2.79
50,1.885,2.76
51,1.875,2.8
52,1.825,2.775
53,1.84,2.74
54,1.45,2.55
55,1.725,2.65
56,1.82,2.695
57,1.85,2.725
58,1.375,2.375
59,1.14,2.29
60,1.425,2.45
61,1.59,2.54
62,1.26,2.46
63,1.655,2.555
64,1.815,2.715
65,1.77,2.67
66,1.84,2.715
67,1.855,2.73
68,1.895,2.77
69,1.875,2.725
70,1.855,2.705
71,1.805,2.68
72,1.705,2.555
73,1.595,2.495
74,1.605,2.38
75,1.7,2.575
76,1.68,2.48
77,1.61,2.46
78,1.605,2.505
79,1.685,2.51
80,1.615,2.465
81,1.51,2.31
82,1.635,2.51
83,1.495,2.47
84,1.405,2.33
85,1.585,2.435
86,1.675,2.55
87,1.685,2.56
88,1.695,2.52
89,1.67,2.545
90,1.04,1.465
91,1.005,1.305
92,1.055,1.105
93,1.085,1.01
94,1.09,1.015
95,1.085,1.01
96,1.09,0.99
97,1.085,1.01
98,1.1,0.975
99,1.1,0.975
100,1.09,0.99
101,1.09,0.99
102,1.09,0.99
103,1.09,0.99
104,1.08,1.005
105,1.09,0.99
106,1.1,0.975
107,1.09,0.99
108,1.09,0.99
109,1.08,1.005
110,1.09,0.99
111,1.1,0.975
112,1.1,0.975
113,1.09,0.99
114,1.09,0.99
115,1.09,0.99
116,1.1,0.975
117,1.08,1.005
118,1.09,0.99
119,1.09,0.99
120,1.1,0.975
121,1.1,0.975
122,1.09,0.99
123,1.1,0.975
124,1.09,0.99
125,1.09,0.99
126,1.09,0.99
127,1.09,0.99
128,1.1,0.975
129,1.1,0.975
130,1.1,0.975
131,1.1,0.975
132,1.1,0.975
133,1.1,0.975
134,1.1,0.975
135,1.09,0.99
136,1.09,0.99
137,1.1,0.975
138,1.1,0.975
139,1.09,0.99
140,1.09,0.99
141,1.09,0.99
142,1.09,0.99
143,1.1,0.975
144,1.09,0.99
145,1.1,0.975
146,1.1,0.975
147,1.1,0.975
148,1.1,0.975
149,1.1,0.975
150,1.1,0.975
151,1.1,0.975
152,1.09,0.99
153,1.09,0.99
154,1.1,0.975
155,1.09,0.99
156,1.1,0.975
157,1.1,0.975
158,1.1,0.975
159,1.1,0.975
160,1.1,0.975
161,1.1,0.975
162,1.1,0.975
163,1.08,1.005
164,1.1,0.975
165,1.1,0.975
166,1.09,0.99
167,1.1,0.975
168,1.09,0.99
169,1.1,0.975
170,1.1,0.975
171,1.1,0.975
172,1.1,0.975
173,1.1,0.975
174,1.09,0.99
175,1.09,0.99
176,1.1,0.975
177,1.1,0.975
178,1.1,0.975
179,1.1,0.975
180,1.1,0.975
181,1.09,0.99
182,1.1,0.975
183,1.1,0.975
184,1.1,0.975
185,1.1,0.975
186,1.1,0.975
187,1.1,0.975
188,1.09,0.99
189,1.1,0.975
190,1.1,0.975
191,1.1,0.975
192,1.1,0.975
193,1.1,0.975
194,1.1,0.975
195,1.1,0.975
196,1.1,0.975
197,1.1,0.975
198,1.1,0.975
199,1.1,0.975
200,1.1,0.975
201,1.1,0.975
202,1.1,0.975
203,1.09,0.99
204,1.1,0.975
205,1.1,0.975
206,1.1,0.975
207,1.1,0.975
208,1.09,0.99
209,1.09,0.99
210,1.1,0.975
211,1.1,0.975
212,1.1,0.975
213,1.1,0.975
214,1.1,0.975
215,1.1,0.975
216,1.1,0.975
217,1.1,0.975
218,1.1,0.975
219,1.1,0.975
220,1.1,0.975
221,1.1,0.975
222,1.1,0.975
223,1.1,0.975
224,1.09,0.99
225,1.1,0.975
226,1.1,0.975
227,1.09,0.99
228,1.1,0.975
229,1.1,0.975
230,1.09,0.99
231,1.09,0.99
232,1.1,0.975
233,1.1,0.975
234,1.1,0.975
235,1.1,0.975
236,1.09,0.99
237,1.1,0.975
238,1.1,0.975
239,1.1,0.975
240,1.1,0.975
241,1.1,0.975
242,1.1,0.975
243,1.1,0.975
244,1.1,0.975
245,1.1,0.975
246,1.1,0.975
247,1.1,0.975
248,1.1,0.975
249,1.1,0.975
250,1.1,0.975
251,1.1,0.975
252,1.1,0.975
253,1.1,0.975
254,1.1,0.975
255,1.1,0.975
256,1.1,0.975
257,1.1,0.975
258,1.1,0.975
259,1.1,0.975
260,1.1,0.975
261,1.1,0.975
262,1.1,0.975
263,1.1,0.975
264,1.1,0.975
265,1.1,0.975
266,1.1,0.975
267,1.09,0.99
268,1.1,0.975
269,1.1,0.975
270,1.1,0.975
271,1.1,0.975
272,1.1,0.975
273,1.1,0.975
274,1.1,0.975
275,1.1,0.975
