,NeuralAgentOpMe_Student16_200bAgent_rng,Student16_200bAgent
0,4.02,1.445
1,3.91,1.61
2,4.045,1.42
3,4.07,1.37
4,4.08,1.355
5,3.95,1.55
6,3.985,1.51
7,4.085,1.36
8,3.92,1.595
9,3.98,1.505
10,4.085,1.36
11,3.975,1.525
12,3.935,1.585
13,3.89,1.64
14,4.07,1.37
15,3.995,1.495
16,4.045,1.42
17,4.095,1.345
18,3.92,1.595
19,3.975,1.525
20,3.98,1.505
21,4.01,1.46
22,4.065,1.39
23,3.975,1.525
24,4.17,1.22
25,3.93,1.58
26,3.99,1.49
27,4.0,1.475
28,3.99,1.49
29,4.055,1.405
30,4.045,1.42
31,3.9,1.625
32,4.135,1.285
33,4.08,1.355
34,4.1,1.325
35,4.005,1.48
36,4.005,1.48
37,3.95,1.55
38,4.105,1.33
39,4.09,1.34
40,4.08,1.355
41,4.19,1.19
42,4.045,1.42
43,3.99,1.49
44,4.055,1.405
45,3.87,1.67
46,4.115,1.315
47,4.1,1.325
48,3.975,1.525
49,4.15,1.25
50,4.08,1.355
51,4.055,1.405
52,4.015,1.465
53,4.145,1.27
54,4.0,1.475
55,3.93,1.58
56,4.105,1.33
57,4.01,1.46
58,4.11,1.31
59,4.17,1.22
60,4.17,1.22
61,3.97,1.52
62,4.025,1.45
63,4.1,1.325
64,4.025,1.45
65,4.0,1.475
66,3.965,1.54
67,4.0,1.475
68,3.89,1.64
69,4.18,1.205
70,4.11,1.31
71,4.24,1.115
72,4.175,1.225
73,4.02,1.445
74,4.065,1.39
75,4.0,1.475
76,4.09,1.34
77,4.045,1.42
78,4.1,1.325
79,4.23,1.13
80,4.095,1.345
81,4.185,1.21
82,4.1,1.325
83,4.045,1.42
84,4.11,1.31
85,4.12,1.295
86,4.005,1.48
87,4.08,1.355
88,4.15,1.25
89,4.2,1.175
90,4.045,1.42
91,4.08,1.355
92,4.13,1.28
93,4.115,1.315
94,4.12,1.295
95,4.095,1.345
96,4.135,1.285
97,4.285,1.06
98,4.13,1.28
99,4.075,1.375
100,4.075,1.375
101,4.29,1.04
102,4.115,1.315
103,4.13,1.28
104,4.105,1.33
105,4.14,1.265
106,4.09,1.34
107,4.12,1.295
108,4.04,1.415
109,4.28,1.055
110,4.05,1.4
111,4.14,1.265
112,4.185,1.21
113,3.99,1.49
114,4.15,1.25
115,4.14,1.265
116,4.235,1.135
117,4.24,1.115
118,4.265,1.09
119,4.28,1.055
120,4.2,1.175
121,4.225,1.15
122,4.25,1.1
123,4.2,1.175
124,4.28,1.055
125,4.105,1.33
126,4.21,1.16
127,4.3,1.025
128,4.27,1.07
129,4.34,0.965
130,4.25,1.1
131,4.235,1.135
132,4.185,1.21
133,4.14,1.265
134,4.365,0.94
135,4.28,1.055
136,4.335,0.985
