,NeuralAgentOpMe_TitF2tatAgent_rng,TitF2tatAgent
0,1.94,1.315
1,2.75,1.725
2,2.565,1.665
3,3.08,1.73
4,2.835,1.71
5,2.79,1.69
6,2.83,1.655
7,2.945,1.745
8,2.91,1.685
9,2.64,1.64
10,2.93,1.73
11,2.75,1.65
12,2.66,1.585
13,2.725,1.675
14,2.86,1.735
15,2.715,1.665
16,3.02,1.795
17,2.72,1.695
18,2.945,1.77
19,2.825,1.7
20,3.11,1.835
21,2.66,1.585
22,2.93,1.73
23,3.035,1.76
24,2.79,1.665
25,2.87,1.62
26,2.81,1.635
27,2.955,1.755
28,3.065,1.79
29,2.605,1.58
30,2.845,1.62
31,3.0,1.775
32,2.87,1.795
33,2.695,1.62
34,2.795,1.77
35,2.845,1.695
36,2.94,1.74
37,2.7,1.675
38,2.905,1.755
39,3.06,1.735
40,3.08,1.755
41,2.76,1.685
42,2.79,1.715
43,2.715,1.665
44,2.855,1.78
45,2.92,1.645
46,3.08,1.805
47,2.975,1.75
48,3.035,1.81
49,2.875,1.725
50,2.725,1.625
51,2.8,1.675
52,2.905,1.78
53,2.95,1.8
54,3.1,1.825
55,3.02,1.695
56,3.025,1.75
57,2.945,1.695
58,2.625,1.675
59,2.92,1.745
60,2.93,1.78
61,3.025,1.775
62,2.91,1.735
63,2.92,1.845
64,2.935,1.685
65,2.88,1.73
66,2.93,1.755
67,3.145,1.795
68,3.065,1.715
69,3.06,1.81
70,3.06,1.76
71,2.715,1.615
72,3.205,1.805
73,3.025,1.75
74,3.03,1.705
75,2.72,1.72
76,2.995,1.795
77,2.96,1.835
78,2.915,1.765
79,3.075,1.85
80,3.095,1.77
81,2.88,1.68
82,2.985,1.81
83,2.79,1.715
84,2.965,1.815
85,2.92,1.82
86,2.855,1.83
87,2.9,1.75
88,2.905,1.83
89,2.615,1.69
90,2.95,1.75
91,2.895,1.795
92,3.165,1.79
93,3.055,1.905
94,2.995,1.745
95,3.1,1.85
96,3.115,1.74
97,2.89,1.74
98,3.045,1.795
99,3.13,1.83
100,2.785,1.61
101,2.98,1.805
102,3.095,1.87
103,2.91,1.785
104,2.935,1.71
105,3.085,1.81
106,3.005,1.755
107,2.87,1.82
108,3.08,1.855
109,3.035,1.785
110,3.13,1.78
111,2.94,1.74
112,2.935,1.81
113,3.15,1.8
114,2.975,1.725
115,3.14,1.89
116,2.94,1.79
117,2.985,1.76
118,3.085,1.935
119,3.02,1.92
120,2.945,1.845
121,2.87,1.795
122,3.025,1.8
123,2.97,1.72
124,2.92,1.795
125,2.895,1.72
126,2.805,1.68
127,3.035,1.86
128,3.235,1.76
129,2.935,1.81
130,2.91,1.91
131,3.05,1.825
132,3.125,1.75
133,2.945,1.795
134,2.955,1.78
135,3.04,1.765
136,2.67,1.77
137,3.22,1.945
138,3.11,1.835
139,3.175,1.875
140,2.87,1.87
141,3.035,1.685
142,3.115,1.89
143,3.18,1.805
144,3.095,1.82
145,2.92,1.77
146,3.1,1.85
147,3.045,1.795
148,3.22,1.87
149,2.9,1.825
150,3.035,1.81
151,3.035,1.76
152,2.865,1.765
153,3.09,1.815
154,3.17,1.92
155,3.06,1.835
156,3.125,1.775
157,3.155,1.805
158,2.965,1.765
159,3.135,1.91
160,3.115,1.84
161,3.14,1.89
162,3.115,1.765
163,3.085,1.76
164,2.945,1.77
165,3.045,1.745
166,3.03,1.855
167,2.985,1.86
168,3.145,1.87
169,2.71,1.66
170,3.01,1.71
171,2.825,1.75
172,2.975,1.775
173,3.2,1.975
174,2.96,1.86
175,2.935,1.735
176,3.11,1.785
177,3.15,1.925
178,3.085,1.885
179,2.885,1.76
180,3.03,1.88
181,2.97,1.92
182,3.255,1.98
183,3.035,1.835
184,3.115,1.915
185,3.09,1.815
186,3.195,1.87
187,2.99,1.865
188,3.15,1.9
189,3.215,1.765
190,3.07,1.795
191,3.005,1.93
192,3.105,1.855
193,3.11,1.81
194,3.2,1.9
195,3.21,1.86
196,3.27,1.995
197,3.205,1.855
198,3.15,1.9
199,2.93,1.905
200,2.95,1.825
201,3.025,1.8
202,3.11,1.81
203,3.135,1.81
204,2.93,1.73
205,3.07,1.82
206,3.065,1.89
207,3.09,1.865
208,3.07,1.82
209,2.955,1.78
210,2.925,1.75
211,3.095,1.87
212,2.975,1.65
213,3.09,1.79
214,3.095,1.87
215,3.225,1.9
216,3.0,1.775
217,3.065,1.79
218,3.125,1.875
219,3.03,1.855
220,3.105,1.855
221,3.11,1.835
222,3.015,1.765
223,3.215,1.89
224,2.9,1.825
225,2.81,1.66
226,3.11,1.935
227,3.055,1.98
228,3.185,1.885
229,2.82,1.695
230,2.87,1.795
231,3.145,1.92
232,2.985,1.785
233,2.97,1.82
234,2.94,1.74
235,2.945,1.795
236,3.12,1.82
237,2.925,1.775
238,2.85,1.8
239,3.215,1.865
240,3.055,1.955
241,3.135,1.86
242,3.12,1.92
243,3.185,1.835
244,3.02,1.82
245,2.685,1.71
246,2.88,1.855
247,3.06,1.76
248,3.155,1.905
249,2.9,1.8
250,2.905,1.78
251,3.315,1.915
252,2.995,1.77
253,2.965,1.715
254,2.935,1.785
255,3.065,1.79
256,3.075,1.85
257,3.07,1.87
258,3.015,1.79
259,2.995,1.845
260,2.945,1.745
261,3.135,1.835
262,2.86,1.76
263,3.06,1.685
264,3.1,1.875
265,2.995,1.77
266,2.965,1.765
267,3.105,1.88
268,3.065,1.765
269,3.01,1.86
270,3.07,1.945
271,2.77,1.795
272,3.0,1.775
273,2.97,1.745
274,3.13,1.83
275,2.9,1.7
276,2.96,1.885
277,2.9,1.875
278,3.19,1.865
279,3.18,1.855
280,3.105,1.855
281,2.92,1.77
282,3.2,1.875
283,3.065,1.915
284,3.025,1.85
285,3.08,1.88
286,3.03,1.88
287,3.125,1.775
288,3.055,1.855
289,3.2,1.775
290,3.15,1.9
291,3.24,1.915
292,3.09,1.89
293,2.985,1.81
294,3.175,1.85
295,2.945,1.82
296,3.2,1.875
297,3.035,1.86
298,3.03,1.955
299,2.875,1.825
300,3.07,1.77
301,3.255,1.905
302,3.07,1.845
303,3.135,1.96
304,3.005,1.83
305,3.02,1.845
306,3.175,1.9
307,3.04,1.79
308,3.055,1.905
309,3.015,1.815
310,3.08,1.88
311,3.205,1.88
312,3.105,1.78
313,3.195,1.92
314,3.08,1.83
315,3.11,1.885
316,3.115,1.89
317,3.165,1.815
318,3.07,1.895
319,3.15,1.85
320,3.2,1.95
321,3.125,2.0
322,3.15,1.95
323,3.325,1.85
324,3.01,1.86
325,3.075,1.9
326,3.135,1.91
327,3.04,1.915
328,3.35,1.875
329,3.01,1.735
330,2.995,1.82
331,3.25,1.85
332,3.03,1.98
333,3.015,1.865
334,3.265,1.79
335,3.235,1.935
336,3.14,1.74
337,3.215,1.915
338,3.125,1.85
339,2.935,1.835
340,3.08,1.93
