,NeuralAgent_AlwaysDefectAgent,AlwaysDefectAgent
0,0.975,1.1
1,0.545,2.82
2,0.505,2.98
3,0.505,2.98
4,0.495,3.02
5,0.515,2.94
6,0.4,3.4
7,0.53,2.88
8,0.425,3.3
9,0.465,3.14
10,0.42,3.32
11,0.505,2.98
12,0.475,3.1
13,0.44,3.24
14,0.44,3.24
15,0.525,2.9
16,0.5,3.0
17,0.535,2.86
18,0.44,3.24
19,0.485,3.06
20,0.5,3.0
21,0.5,3.0
22,0.485,3.06
23,0.525,2.9
24,0.45,3.2
25,0.51,2.96
26,0.43,3.28
27,0.425,3.3
28,0.41,3.36
29,0.46,3.16
30,0.435,3.26
31,0.39,3.44
32,0.455,3.18
33,0.425,3.3
34,0.375,3.5
35,0.37,3.52
36,0.41,3.36
37,0.4,3.4
38,0.5,3.0
39,0.37,3.52
40,0.46,3.16
41,0.445,3.22
42,0.455,3.18
43,0.425,3.3
44,0.38,3.48
45,0.465,3.14
46,0.45,3.2
47,0.41,3.36
48,0.415,3.34
49,0.485,3.06
50,0.435,3.26
51,0.43,3.28
52,0.425,3.3
53,0.375,3.5
54,0.405,3.38
55,0.44,3.24
56,0.425,3.3
57,0.415,3.34
58,0.375,3.5
59,0.405,3.38
60,0.43,3.28
61,0.435,3.26
62,0.39,3.44
63,0.365,3.54
64,0.4,3.4
65,0.37,3.52
66,0.385,3.46
67,0.395,3.42
68,0.405,3.38
69,0.34,3.64
70,0.355,3.58
71,0.355,3.58
72,0.36,3.56
73,0.35,3.6
74,0.395,3.42
75,0.37,3.52
76,0.37,3.52
77,0.345,3.62
78,0.35,3.6
79,0.355,3.58
80,0.375,3.5
81,0.37,3.52
82,0.325,3.7
83,0.34,3.64
84,0.375,3.5
85,0.35,3.6
86,0.35,3.6
87,0.305,3.78
88,0.295,3.82
89,0.32,3.72
90,0.345,3.62
91,0.405,3.38
92,0.34,3.64
93,0.315,3.74
94,0.285,3.86
95,0.345,3.62
96,0.325,3.7
97,0.28,3.88
98,0.275,3.9
99,0.32,3.72
100,0.305,3.78
101,0.41,3.36
102,0.345,3.62
103,0.22,4.12
104,0.305,3.78
105,0.345,3.62
106,0.28,3.88
107,0.275,3.9
108,0.325,3.7
109,0.28,3.88
110,0.27,3.92
111,0.285,3.86
112,0.275,3.9
113,0.32,3.72
114,0.24,4.04
115,0.24,4.04
116,0.28,3.88
117,0.245,4.02
118,0.26,3.96
119,0.19,4.24
120,0.25,4.0
121,0.235,4.06
122,0.19,4.24
123,0.3,3.8
124,0.23,4.08
125,0.345,3.62
126,0.26,3.96
127,0.225,4.1
128,0.215,4.14
129,0.27,3.92
130,0.135,4.46
131,0.19,4.24
132,0.24,4.04
133,0.2,4.2
134,0.235,4.06
135,0.2,4.2
136,0.22,4.12
137,0.25,4.0
138,0.205,4.18
139,0.19,4.24
140,0.165,4.34
141,0.19,4.24
142,0.2,4.2
143,0.15,4.4
144,0.23,4.08
145,0.205,4.18
146,0.225,4.1
147,0.14,4.44
148,0.185,4.26
149,0.17,4.32
150,0.18,4.28
151,0.205,4.18
152,0.14,4.44
153,0.16,4.36
154,0.17,4.32
155,0.145,4.42
156,0.17,4.32
157,0.16,4.36
158,0.16,4.36
159,0.18,4.28
160,0.19,4.24
161,0.195,4.22
162,0.165,4.34
163,0.125,4.5
164,0.145,4.42
165,0.185,4.26
166,0.175,4.3
167,0.185,4.26
168,0.125,4.5
169,0.145,4.42
170,0.135,4.46
171,0.14,4.44
172,0.145,4.42
173,0.145,4.42
174,0.14,4.44
175,0.13,4.48
176,0.12,4.52
177,0.16,4.36
178,0.16,4.36
179,0.11,4.56
180,0.09,4.64
181,0.13,4.48
182,0.105,4.58
183,0.135,4.46
184,0.095,4.62
185,0.145,4.42
186,0.17,4.32
187,0.13,4.48
188,0.11,4.56
189,0.105,4.58
190,0.105,4.58
191,0.155,4.38
192,0.095,4.62
193,0.1,4.6
194,0.12,4.52
195,0.14,4.44
196,0.115,4.54
197,0.095,4.62
198,0.055,4.78
199,0.06,4.76
200,0.12,4.52
201,0.07,4.72
202,0.08,4.68
203,0.07,4.72
204,0.105,4.58
205,0.115,4.54
206,0.09,4.64
207,0.055,4.78
208,0.085,4.66
209,0.11,4.56
210,0.05,4.8
211,0.085,4.66
212,0.12,4.52
213,0.06,4.76
214,0.075,4.7
215,0.095,4.62
216,0.075,4.7
217,0.09,4.64
218,0.07,4.72
219,0.105,4.58
220,0.065,4.74
221,0.08,4.68
222,0.07,4.72
223,0.05,4.8
224,0.095,4.62
225,0.055,4.78
226,0.095,4.62
227,0.055,4.78
228,0.065,4.74
229,0.06,4.76
230,0.035,4.86
231,0.04,4.84
232,0.06,4.76
233,0.055,4.78
234,0.065,4.74
235,0.05,4.8
236,0.06,4.76
237,0.065,4.74
238,0.055,4.78
239,0.025,4.9
240,0.08,4.68
241,0.05,4.8
242,0.05,4.8
243,0.04,4.84
244,0.05,4.8
245,0.05,4.8
246,0.055,4.78
247,0.065,4.74
248,0.045,4.82
249,0.07,4.72
250,0.05,4.8
251,0.05,4.8
252,0.025,4.9
253,0.075,4.7
254,0.04,4.84
255,0.035,4.86
256,0.04,4.84
257,0.02,4.92
258,0.03,4.88
259,0.03,4.88
260,0.035,4.86
261,0.03,4.88
262,0.025,4.9
263,0.035,4.86
264,0.04,4.84
265,0.045,4.82
266,0.025,4.9
267,0.06,4.76
268,0.03,4.88
269,0.025,4.9
270,0.055,4.78
271,0.015,4.94
272,0.03,4.88
273,0.035,4.86
274,0.025,4.9
275,0.045,4.82
276,0.045,4.82
277,0.04,4.84
278,0.04,4.84
279,0.035,4.86
280,0.015,4.94
281,0.02,4.92
282,0.035,4.86
283,0.015,4.94
284,0.035,4.86
285,0.04,4.84
286,0.035,4.86
287,0.02,4.92
288,0.01,4.96
289,0.025,4.9
290,0.025,4.9
291,0.02,4.92
292,0.03,4.88
293,0.035,4.86
294,0.015,4.94
295,0.025,4.9
296,0.005,4.98
297,0.02,4.92
298,0.03,4.88
299,0.025,4.9
300,0.02,4.92
301,0.015,4.94
302,0.025,4.9
303,0.01,4.96
304,0.02,4.92
305,0.03,4.88
306,0.03,4.88
307,0.025,4.9
308,0.015,4.94
309,0.01,4.96
310,0.03,4.88
311,0.025,4.9
312,0.015,4.94
313,0.02,4.92
314,0.02,4.92
315,0.025,4.9
316,0.025,4.9
317,0.025,4.9
318,0.015,4.94
319,0.025,4.9
320,0.015,4.94
321,0.02,4.92
322,0.025,4.9
323,0.025,4.9
324,0.06,4.76
325,0.01,4.96
326,0.015,4.94
327,0.005,4.98
328,0.02,4.92
329,0.02,4.92
330,0.015,4.94
331,0.01,4.96
332,0.025,4.9
333,0.01,4.96
334,0.005,4.98
335,0.005,4.98
336,0.03,4.88
337,0.02,4.92
338,0.015,4.94
339,0.015,4.94
340,0.01,4.96
341,0.025,4.9
342,0.015,4.94
343,0.02,4.92
344,0.005,4.98
345,0.025,4.9
346,0.015,4.94
347,0.025,4.9
348,0.01,4.96
349,0.015,4.94
350,0.005,4.98
351,0.01,4.96
352,0.015,4.94
353,0.0,5.0
354,0.01,4.96
355,0.01,4.96
356,0.015,4.94
357,0.01,4.96
358,0.01,4.96
359,0.025,4.9
360,0.015,4.94
361,0.0,5.0
362,0.01,4.96
363,0.005,4.98
364,0.02,4.92
365,0.005,4.98
366,0.01,4.96
367,0.005,4.98
368,0.005,4.98
369,0.015,4.94
370,0.0,5.0
371,0.015,4.94
372,0.005,4.98
373,0.005,4.98
374,0.005,4.98
375,0.005,4.98
376,0.0,5.0
377,0.01,4.96
378,0.01,4.96
379,0.01,4.96
380,0.005,4.98
381,0.005,4.98
382,0.015,4.94
383,0.005,4.98
384,0.02,4.92
385,0.01,4.96
386,0.005,4.98
387,0.02,4.92
388,0.01,4.96
389,0.01,4.96
390,0.005,4.98
391,0.0,5.0
392,0.005,4.98
393,0.015,4.94
394,0.01,4.96
395,0.015,4.94
396,0.025,4.9
397,0.015,4.94
398,0.01,4.96
399,0.0,5.0
400,0.01,4.96
401,0.015,4.94
402,0.01,4.96
403,0.005,4.98
404,0.01,4.96
405,0.02,4.92
406,0.005,4.98
407,0.005,4.98
408,0.0,5.0
409,0.015,4.94
410,0.01,4.96
