,NeuralAgent_AlwaysDefectAgent_rng,AlwaysDefectAgent
0,0.975,1.1
1,0.465,3.14
2,0.46,3.16
3,0.51,2.96
4,0.5,3.0
5,0.505,2.98
6,0.505,2.98
7,0.535,2.86
8,0.475,3.1
9,0.555,2.78
10,0.525,2.9
11,0.505,2.98
12,0.51,2.96
13,0.495,3.02
14,0.485,3.06
15,0.515,2.94
16,0.57,2.72
17,0.535,2.86
18,0.515,2.94
19,0.535,2.86
20,0.555,2.78
21,0.465,3.14
22,0.52,2.92
23,0.505,2.98
24,0.42,3.32
25,0.535,2.86
26,0.495,3.02
27,0.53,2.88
28,0.6,2.6
29,0.535,2.86
30,0.51,2.96
31,0.495,3.02
32,0.47,3.12
33,0.495,3.02
34,0.525,2.9
35,0.59,2.64
36,0.555,2.78
37,0.52,2.92
38,0.54,2.84
39,0.56,2.76
40,0.535,2.86
41,0.495,3.02
42,0.49,3.04
43,0.53,2.88
44,0.575,2.7
45,0.59,2.64
46,0.55,2.8
47,0.6,2.6
48,0.53,2.88
49,0.56,2.76
50,0.54,2.84
51,0.595,2.62
52,0.57,2.72
53,0.61,2.56
54,0.6,2.6
55,0.54,2.84
56,0.61,2.56
57,0.595,2.62
58,0.52,2.92
59,0.62,2.52
60,0.615,2.54
61,0.63,2.48
62,0.58,2.68
63,0.61,2.56
64,0.57,2.72
65,0.635,2.46
66,0.635,2.46
67,0.625,2.5
68,0.595,2.62
69,0.56,2.76
70,0.625,2.5
71,0.56,2.76
72,0.565,2.74
73,0.545,2.82
74,0.565,2.74
75,0.62,2.52
76,0.635,2.46
77,0.63,2.48
78,0.64,2.44
79,0.635,2.46
80,0.625,2.5
81,0.595,2.62
82,0.71,2.16
83,0.64,2.44
84,0.63,2.48
85,0.605,2.58
86,0.645,2.42
87,0.645,2.42
88,0.655,2.38
89,0.625,2.5
90,0.61,2.56
91,0.68,2.28
92,0.63,2.48
93,0.63,2.48
94,0.65,2.4
95,0.675,2.3
96,0.675,2.3
97,0.6,2.6
98,0.725,2.1
99,0.72,2.12
100,0.62,2.52
101,0.68,2.28
102,0.625,2.5
103,0.655,2.38
104,0.71,2.16
105,0.67,2.32
106,0.635,2.46
107,0.625,2.5
108,0.695,2.22
109,0.665,2.34
110,0.7,2.2
111,0.76,1.96
112,0.69,2.24
113,0.65,2.4
114,0.59,2.64
115,0.69,2.24
116,0.715,2.14
117,0.715,2.14
118,0.72,2.12
119,0.695,2.22
120,0.705,2.18
121,0.755,1.98
122,0.725,2.1
123,0.72,2.12
124,0.725,2.1
125,0.695,2.22
126,0.675,2.3
127,0.665,2.34
128,0.725,2.1
129,0.72,2.12
130,0.73,2.08
131,0.68,2.28
132,0.715,2.14
133,0.775,1.9
134,0.735,2.06
135,0.755,1.98
136,0.73,2.08
137,0.775,1.9
138,0.735,2.06
139,0.72,2.12
140,0.76,1.96
141,0.775,1.9
142,0.785,1.86
143,0.725,2.1
144,0.81,1.76
145,0.785,1.86
146,0.74,2.04
147,0.78,1.88
148,0.75,2.0
149,0.795,1.82
150,0.78,1.88
151,0.785,1.86
152,0.775,1.9
153,0.775,1.9
154,0.815,1.74
155,0.8,1.8
156,0.76,1.96
157,0.78,1.88
158,0.755,1.98
159,0.76,1.96
160,0.825,1.7
161,0.82,1.72
162,0.82,1.72
163,0.86,1.56
164,0.78,1.88
165,0.82,1.72
166,0.78,1.88
167,0.805,1.78
168,0.76,1.96
169,0.78,1.88
170,0.79,1.84
171,0.835,1.66
172,0.825,1.7
173,0.785,1.86
174,0.815,1.74
175,0.82,1.72
176,0.82,1.72
177,0.84,1.64
178,0.805,1.78
179,0.82,1.72
180,0.85,1.6
181,0.82,1.72
182,0.855,1.58
183,0.79,1.84
184,0.785,1.86
185,0.785,1.86
186,0.78,1.88
187,0.875,1.5
188,0.835,1.66
189,0.86,1.56
