,NeuralAgent_RandomChoiceAgent,RandomChoiceAgent
0,2.255,2.455
1,2.03,2.73
2,1.915,2.915
3,1.91,2.96
4,1.825,2.875
5,1.985,2.86
6,2.225,2.55
7,2.025,2.75
8,1.985,2.91
9,2.025,2.675
10,2.24,2.665
11,1.99,2.715
12,2.015,2.615
13,2.265,2.665
14,2.03,2.655
15,2.24,2.54
16,1.945,2.87
17,2.065,2.74
18,2.165,2.69
19,1.96,2.835
20,1.9,2.725
21,2.215,2.565
22,2.055,2.83
23,1.825,2.875
24,2.01,2.91
25,1.645,2.945
26,1.87,2.995
27,1.975,2.9
28,2.19,2.79
29,1.985,2.735
30,1.955,2.83
31,1.99,2.715
32,1.975,2.775
33,1.97,2.695
34,2.05,2.725
35,1.955,3.03
36,1.945,2.845
37,2.085,2.785
38,2.06,2.71
39,2.045,3.02
40,1.735,2.96
41,2.02,2.97
42,2.025,2.925
43,1.99,2.84
44,2.185,2.61
45,1.99,2.84
46,1.815,3.015
47,1.85,2.95
48,2.02,2.72
49,2.25,2.65
50,2.23,2.755
51,1.985,2.76
52,1.865,3.165
53,1.95,3.1
54,2.085,2.835
55,2.13,2.805
56,2.105,2.955
57,1.96,2.91
58,1.895,3.12
59,1.88,2.905
60,1.81,2.985
61,1.995,3.045
62,1.77,3.195
63,2.08,2.78
64,1.675,3.2
65,2.09,2.89
66,1.925,2.875
67,1.745,3.22
68,1.865,3.09
69,1.92,2.97
70,1.905,2.98
71,1.875,3.075
72,2.11,2.885
73,2.04,2.915
74,1.805,3.105
75,1.675,3.05
76,2.135,2.96
77,1.685,3.21
78,2.0,3.1
79,1.84,3.14
80,1.78,3.205
81,1.87,3.02
82,1.945,3.07
83,1.76,3.135
84,1.95,2.925
85,1.91,2.985
86,1.89,3.04
87,1.91,3.135
88,1.6,3.375
89,1.825,3.25
90,2.045,3.02
91,1.875,3.075
92,1.83,3.205
93,1.75,3.225
94,1.83,3.155
95,1.895,3.07
96,1.775,3.3
97,1.96,3.06
98,2.05,3.075
99,1.97,3.02
100,1.92,3.095
101,1.71,3.36
102,1.96,3.06
103,1.935,3.16
104,1.73,3.28
105,1.725,3.275
106,1.845,3.22
107,1.79,3.24
108,1.78,3.105
109,1.875,3.2
110,1.84,3.24
111,1.71,3.485
112,1.935,3.01
113,1.995,3.02
114,1.89,3.14
115,1.91,3.16
116,1.845,3.27
117,2.1,2.925
118,1.91,3.135
119,1.805,3.08
120,1.78,3.33
121,1.995,3.17
122,1.81,3.285
123,1.865,3.34
124,2.1,3.1
125,1.855,3.205
126,1.7,3.3
127,1.73,3.38
128,1.805,3.03
129,1.875,3.175
130,1.925,3.125
131,2.025,3.075
132,2.035,3.11
133,1.69,3.365
134,1.82,3.22
135,1.975,3.175
136,1.655,3.43
137,1.935,3.235
138,1.81,3.235
139,1.935,3.16
140,1.805,3.33
141,1.835,3.41
142,1.725,3.375
143,1.74,3.19
144,1.82,3.37
145,1.795,3.295
146,1.82,3.295
147,1.91,3.285
148,1.55,3.525
149,1.87,3.17
150,1.59,3.59
151,2.035,3.06
152,1.815,3.19
153,1.75,3.4
154,1.74,3.415
155,1.73,3.38
156,1.76,3.385
157,1.57,3.645
158,1.705,3.33
159,1.77,3.27
160,1.925,3.175
161,1.515,3.59
162,1.715,3.465
163,1.565,3.515
164,1.62,3.37
165,2.045,3.245
166,1.485,3.61
167,1.81,3.435
168,1.765,3.39
169,1.79,3.365
170,1.61,3.51
171,1.805,3.38
172,2.035,3.235
173,1.795,3.32
174,1.555,3.53
175,1.86,3.485
176,1.795,3.42
177,1.65,3.475
178,1.765,3.49
179,1.88,3.405
180,1.75,3.375
181,1.865,3.39
182,1.625,3.575
183,1.575,3.525
184,1.625,3.575
185,1.75,3.45
186,1.99,3.265
187,1.68,3.405
188,1.715,3.415
189,1.87,3.245
190,1.765,3.44
191,1.855,3.455
192,1.635,3.635
193,2.1,3.25
194,1.725,3.5
195,2.03,3.305
196,1.725,3.4
197,1.72,3.545
198,1.725,3.45
199,1.64,3.515
200,1.56,3.585
201,1.675,3.575
202,1.665,3.49
203,1.67,3.42
204,1.665,3.465
205,1.77,3.495
206,1.49,3.515
207,1.665,3.54
208,1.66,3.435
209,1.5,3.725
210,1.645,3.445
211,1.685,3.41
212,1.655,3.555
213,1.88,3.455
214,1.6,3.475
215,1.935,3.41
216,1.675,3.625
217,1.595,3.67
218,1.52,3.62
219,1.68,3.655
220,1.705,3.53
221,1.625,3.6
222,1.47,3.77
223,1.87,3.47
224,1.555,3.68
225,1.685,3.585
226,1.61,3.66
227,1.785,3.385
228,1.735,3.51
229,1.835,3.485
230,1.49,3.69
231,1.665,3.615
232,1.615,3.54
233,1.645,3.645
234,1.595,3.645
235,1.675,3.5
236,1.605,3.655
237,1.685,3.585
238,1.52,3.67
239,1.435,3.76
240,1.69,3.54
241,1.66,3.635
242,1.755,3.555
243,1.475,3.775
244,1.69,3.59
245,1.53,3.655
246,1.685,3.685
247,1.68,3.655
248,1.75,3.525
249,1.825,3.55
250,1.745,3.52
251,1.66,3.585
252,1.79,3.49
253,1.555,3.73
254,1.745,3.545
255,1.72,3.595
256,1.675,3.45
257,1.385,3.66
258,1.635,3.61
259,1.72,3.645
260,1.765,3.54
261,1.565,3.765
262,1.54,3.74
263,1.77,3.495
264,1.6,3.675
265,1.615,3.69
266,1.845,3.47
267,1.6,3.725
268,1.775,3.525
269,1.5,3.725
270,1.685,3.56
271,1.765,3.565
272,1.405,3.83
273,1.69,3.59
274,1.835,3.56
275,1.615,3.665
276,1.745,3.57
277,1.53,3.68
278,1.635,3.66
279,1.415,3.84
280,1.575,3.7
281,1.655,3.655
282,1.555,3.755
283,1.57,3.72
284,1.48,3.78
285,1.665,3.665
286,1.52,3.745
287,1.545,3.72
288,1.445,3.87
289,1.84,3.565
290,1.84,3.49
291,1.32,3.845
292,1.645,3.67
293,1.625,3.7
294,1.74,3.565
295,1.625,3.65
296,1.93,3.355
297,1.66,3.66
298,1.62,3.695
299,1.595,3.67
300,1.75,3.65
301,1.61,3.61
302,1.545,3.77
303,1.545,3.745
304,1.65,3.7
305,1.5,3.725
306,1.665,3.715
307,1.685,3.66
308,1.765,3.515
309,1.795,3.67
310,1.63,3.705
311,1.645,3.67
312,1.51,3.785
313,1.595,3.645
314,1.615,3.715
315,1.625,3.75
316,1.62,3.745
317,1.485,3.735
318,1.745,3.645
319,1.48,3.88
320,1.635,3.735
321,1.53,3.73
322,1.77,3.645
323,1.745,3.695
324,1.725,3.675
325,1.705,3.63
326,1.585,3.71
327,1.515,3.865
328,1.63,3.73
329,1.69,3.69
330,1.64,3.665
331,1.71,3.61
332,1.505,3.805
333,1.575,3.8
334,1.565,3.765
335,1.745,3.695
336,1.64,3.715
337,1.685,3.66
338,1.595,3.67
339,1.47,3.795
340,1.51,3.735
341,1.595,3.745
342,1.71,3.735
343,1.605,3.73
344,1.5,3.825
345,1.485,3.735
346,1.585,3.785
347,1.74,3.64
348,1.74,3.665
349,1.805,3.63
350,1.615,3.74
351,1.635,3.685
352,1.685,3.685
353,1.705,3.73
354,1.605,3.78
355,1.6,3.775
356,1.535,3.735
357,1.675,3.7
358,1.485,3.86
359,1.7,3.7
360,1.46,3.96
361,1.575,3.8
362,1.485,3.835
363,1.585,3.785
364,1.545,3.845
365,1.865,3.59
366,1.52,3.77
367,1.675,3.675
368,1.7,3.7
369,1.895,3.595
370,1.59,3.815
371,1.46,3.835
372,1.435,3.885
373,1.75,3.65
374,1.435,3.91
375,1.755,3.63
376,1.44,3.915
377,1.42,3.845
378,1.555,3.805
379,1.76,3.735
380,1.745,3.695
381,1.46,3.835
382,1.545,3.72
383,1.62,3.77
384,1.715,3.715
385,1.405,3.905
386,1.365,3.94
387,1.485,3.86
388,1.41,3.91
389,1.595,3.82
390,1.575,3.825
391,1.66,3.81
392,1.395,3.945
393,1.515,3.79
394,1.44,3.89
395,1.695,3.72
396,1.46,3.91
397,1.475,3.925
398,1.5,3.8
399,1.545,3.87
400,1.625,3.75
401,1.685,3.735
402,1.34,4.015
403,1.58,3.83
404,1.41,3.935
405,1.71,3.66
406,1.475,3.975
407,1.61,3.785
408,1.635,3.785
409,1.74,3.715
410,1.54,3.815
411,1.71,3.735
412,1.56,3.835
413,1.57,3.77
414,1.75,3.675
415,1.575,3.85
416,1.545,3.845
417,1.56,3.86
418,1.7,3.725
419,1.785,3.685
420,1.55,3.8
421,1.605,3.855
422,1.515,3.89
423,1.67,3.695
424,1.32,3.995
425,1.44,3.94
426,1.665,3.765
427,1.46,3.91
428,1.685,3.785
429,1.36,4.01
430,1.595,3.77
431,1.495,3.895
432,1.535,3.86
433,1.53,3.855
434,1.41,3.96
435,1.585,3.885
436,1.735,3.685
437,1.64,3.665
438,1.55,3.875
439,1.53,3.88
440,1.62,3.795
441,1.685,3.735
442,1.62,3.77
443,1.62,3.745
444,1.635,3.76
445,1.675,3.8
446,1.495,3.845
447,1.6,3.875
448,1.395,3.945
449,1.33,3.98
450,1.41,3.96
451,1.66,3.76
452,1.66,3.81
453,1.275,4.075
454,1.54,3.89
455,1.74,3.74
456,1.615,3.79
457,1.63,3.855
458,1.56,3.885
459,1.69,3.69
460,1.525,3.85
461,1.66,3.785
462,1.445,3.895
463,1.65,3.725
464,1.61,3.81
465,1.63,3.805
466,1.62,3.795
467,1.415,3.94
468,1.475,3.85
469,1.515,3.94
470,1.49,3.915
471,1.54,3.815
472,1.6,3.75
473,1.645,3.795
474,1.58,3.805
475,1.425,4.0
476,1.41,3.91
477,1.695,3.745
478,1.355,3.93
479,1.68,3.755
480,1.605,3.83
481,1.92,3.645
482,1.625,3.875
483,1.475,3.9
484,1.625,3.9
485,1.5,3.9
486,1.665,3.79
487,1.675,3.775
488,1.465,3.965
489,1.625,3.8
490,1.71,3.71
491,1.585,3.885
492,1.665,3.79
493,1.485,3.91
494,1.63,3.805
495,1.585,3.81
496,1.45,3.975
497,1.615,3.815
498,1.56,3.86
499,1.62,3.845
500,1.615,3.765
501,1.725,3.775
502,1.605,3.83
503,1.54,3.815
504,1.585,3.835
505,1.5,3.925
506,1.745,3.77
507,1.445,3.92
508,1.565,3.865
509,1.42,3.92
510,1.63,3.88
511,1.405,3.98
512,1.635,3.86
513,1.61,3.81
514,1.525,3.95
515,1.535,3.91
516,1.65,3.825
517,1.56,3.885
518,1.615,3.79
519,1.52,3.87
520,1.505,3.88
521,1.605,3.88
522,1.53,3.88
523,1.43,3.93
524,1.645,3.77
525,1.495,3.87
526,1.4,4.0
527,1.405,3.98
528,1.46,3.935
529,1.795,3.72
530,1.53,3.905
531,1.525,3.85
532,1.55,3.9
533,1.515,3.865
534,1.535,3.91
535,1.685,3.785
536,1.5,3.925
537,1.555,3.93
538,1.585,3.86
539,1.69,3.74
540,1.445,3.895
541,1.685,3.81
542,1.695,3.82
543,1.47,3.92
544,1.675,3.8
545,1.595,3.82
546,1.625,3.85
547,1.485,3.935
548,1.445,3.995
549,1.57,3.845
550,1.53,3.955
551,1.545,3.87
552,1.39,3.94
553,1.425,4.0
554,1.395,4.02
555,1.605,3.83
556,1.795,3.695
557,1.58,3.855
558,1.365,3.965
559,1.445,3.92
560,1.325,4.025
561,1.56,3.885
562,1.34,4.09
563,1.465,3.965
564,1.47,3.92
565,1.675,3.8
566,1.345,4.045
567,1.39,4.015
568,1.445,3.97
569,1.555,3.93
570,1.755,3.705
571,1.75,3.775
572,1.365,4.015
573,1.485,3.96
574,1.585,3.885
575,1.655,3.855
576,1.44,3.965
577,1.445,3.995
578,1.525,3.925
579,1.59,3.84
580,1.55,3.925
581,1.42,3.97
582,1.645,3.845
583,1.655,3.805
584,1.775,3.75
585,1.365,4.015
586,1.655,3.805
587,1.66,3.835
588,1.51,3.91
589,1.44,3.965
590,1.595,3.87
591,1.58,3.88
592,1.535,3.91
593,1.755,3.73
594,1.375,4.025
595,1.395,3.995
596,1.56,3.885
597,1.465,3.965
598,1.475,3.925
599,1.28,4.055
600,1.285,4.06
601,1.505,3.98
602,1.73,3.73
603,1.68,3.805
604,1.615,3.84
605,1.625,3.85
606,1.815,3.69
607,1.81,3.685
608,1.59,3.915
609,1.525,3.925
610,1.58,3.855
611,1.695,3.745
612,1.645,3.795
613,1.565,3.89
614,1.61,3.91
615,1.73,3.78
616,1.55,3.925
617,1.49,3.94
618,1.59,3.865
619,1.575,3.875
620,1.58,3.88
621,1.62,3.87
622,1.44,3.94
623,1.49,3.965
624,1.52,3.945
625,1.78,3.705
626,1.57,3.895
627,1.525,3.9
628,1.64,3.815
629,1.57,3.845
630,1.65,3.85
631,1.475,3.975
632,1.455,3.98
633,1.575,3.925
634,1.55,3.9
635,1.41,3.96
636,1.56,3.935
637,1.415,3.99
638,1.49,3.965
639,1.73,3.805
640,1.66,3.81
641,1.53,3.93
642,1.58,3.855
643,1.36,4.035
644,1.725,3.8
645,1.425,4.0
646,1.425,3.975
647,1.53,3.93
648,1.57,3.895
649,1.58,3.88
650,1.535,3.91
651,1.515,3.915
652,1.535,3.91
653,1.595,3.895
654,1.6,3.9
655,1.55,3.925
656,1.615,3.865
657,1.38,4.03
658,1.4,4.0
659,1.55,3.95
660,1.52,3.945
661,1.76,3.76
662,1.715,3.765
663,1.63,3.88
664,1.45,4.0
665,1.455,4.005
666,1.515,3.915
667,1.575,3.925
668,1.515,3.915
669,1.505,3.98
670,1.625,3.875
671,1.465,3.99
672,1.58,3.88
673,1.635,3.885
674,1.535,3.96
675,1.54,3.89
676,1.64,3.865
677,1.445,3.995
678,1.42,4.045
679,1.4,4.0
680,1.58,3.88
681,1.47,3.87
682,1.6,3.85
683,1.42,3.97
684,1.525,3.95
685,1.665,3.84
686,1.58,3.88
687,1.67,3.845
688,1.41,3.96
689,1.76,3.785
690,1.65,3.775
691,1.51,3.935
692,1.51,3.91
693,1.43,4.005
694,1.385,4.035
695,1.6,3.9
696,1.64,3.89
697,1.62,3.845
698,1.5,3.925
699,1.61,3.86
700,1.655,3.83
701,1.475,3.975
702,1.385,4.035
703,1.36,4.06
704,1.5,3.95
705,1.31,4.06
706,1.43,3.955
707,1.525,3.9
708,1.5,3.95
709,1.44,4.015
710,1.52,3.945
711,1.5,3.95
712,1.72,3.795
713,1.605,3.88
714,1.59,3.915
715,1.56,3.935
716,1.565,3.915
717,1.505,3.93
718,1.525,3.9
719,1.675,3.85
720,1.47,3.97
721,1.585,3.91
722,1.495,3.945
723,1.575,3.9
724,1.625,3.8
725,1.57,3.895
726,1.48,3.955
727,1.395,3.995
728,1.69,3.84
729,1.61,3.91
730,1.595,3.92
731,1.495,3.945
732,1.56,3.91
733,1.545,3.945
734,1.57,3.92
735,1.485,3.96
736,1.68,3.83
737,1.385,4.035
738,1.67,3.845
739,1.465,3.99
740,1.635,3.885
741,1.53,3.955
742,1.5,3.975
743,1.59,3.84
744,1.525,3.95
745,1.37,4.02
746,1.405,4.005
747,1.49,3.915
748,1.505,3.955
749,1.7,3.85
750,1.655,3.83
751,1.595,3.895
752,1.615,3.915
753,1.445,3.97
754,1.49,3.965
755,1.475,3.925
756,1.585,3.91
757,1.65,3.85
758,1.29,4.115
759,1.5,3.95
760,1.38,4.055
761,1.555,3.88
762,1.41,4.035
763,1.565,3.865
764,1.495,3.995
765,1.545,3.92
766,1.41,4.035
767,1.76,3.785
768,1.535,3.96
769,1.5,3.975
770,1.46,3.96
771,1.515,3.99
772,1.49,3.99
773,1.465,3.99
774,1.58,3.905
775,1.72,3.82
776,1.44,3.99
777,1.41,4.035
778,1.615,3.89
779,1.535,3.935
780,1.555,3.905
781,1.525,3.95
782,1.625,3.8
783,1.355,4.08
784,1.55,3.95
785,1.445,3.945
786,1.47,3.97
787,1.605,3.93
788,1.475,4.0
789,1.605,3.88
790,1.61,3.885
791,1.55,3.925
792,1.45,4.0
793,1.58,3.88
794,1.405,4.005
795,1.54,3.915
796,1.32,4.07
797,1.5,3.95
798,1.495,3.97
799,1.605,3.88
800,1.605,3.905
801,1.405,4.03
802,1.47,3.995
803,1.475,3.975
804,1.56,3.96
805,1.545,3.92
806,1.63,3.905
807,1.655,3.83
808,1.435,4.01
809,1.485,4.01
810,1.435,3.985
811,1.595,3.92
812,1.505,3.955
813,1.45,3.975
814,1.55,3.95
815,1.635,3.785
816,1.715,3.79
817,1.54,3.965
818,1.735,3.785
819,1.32,4.07
820,1.275,4.15
821,1.405,4.055
822,1.575,3.85
823,1.43,4.005
824,1.595,3.87
825,1.565,3.915
826,1.575,3.875
827,1.475,4.0
828,1.455,4.005
829,1.295,4.095
830,1.66,3.86
831,1.565,3.94
832,1.48,3.955
833,1.635,3.86
834,1.455,3.98
835,1.41,3.985
836,1.54,3.915
837,1.34,4.065
838,1.495,3.97
839,1.63,3.88
840,1.525,3.925
841,1.645,3.87
842,1.435,4.01
843,1.46,3.985
844,1.665,3.84
845,1.62,3.87
846,1.575,3.95
847,1.53,3.905
848,1.27,4.095
849,1.59,3.89
850,1.655,3.88
851,1.565,3.89
852,1.655,3.805
853,1.515,3.965
854,1.49,3.94
855,1.505,3.88
856,1.565,3.94
857,1.44,4.015
858,1.51,3.96
859,1.69,3.815
860,1.675,3.85
861,1.64,3.89
862,1.62,3.895
863,1.52,3.92
864,1.42,4.02
865,1.455,3.98
866,1.43,4.005
867,1.775,3.775
868,1.46,4.01
869,1.305,4.105
870,1.575,3.95
871,1.57,3.92
872,1.515,3.965
873,1.69,3.84
874,1.425,4.0
875,1.545,3.945
876,1.47,3.97
877,1.575,3.925
878,1.49,3.965
879,1.66,3.835
880,1.47,4.02
881,1.515,3.94
882,1.64,3.84
883,1.735,3.81
884,1.655,3.83
885,1.6,3.9
886,1.41,4.035
887,1.575,3.925
888,1.42,4.045
889,1.455,3.93
890,1.425,4.025
891,1.545,3.895
892,1.495,3.97
893,1.54,3.94
894,1.36,4.01
895,1.56,3.935
896,1.43,4.005
897,1.67,3.845
898,1.47,3.995
899,1.645,3.895
900,1.52,3.945
901,1.625,3.825
902,1.4,4.025
903,1.545,3.945
904,1.4,4.025
905,1.55,3.95
906,1.585,3.885
907,1.605,3.88
908,1.435,4.01
909,1.525,3.925
910,1.685,3.86
911,1.405,4.005
912,1.5,3.95
913,1.39,3.99
914,1.66,3.835
915,1.555,3.955
916,1.625,3.9
917,1.48,3.955
918,1.37,4.07
919,1.53,3.955
920,1.395,3.995
921,1.56,3.91
922,1.59,3.915
923,1.425,4.0
924,1.48,4.005
925,1.48,3.955
926,1.435,4.035
927,1.53,3.905
928,1.64,3.89
929,1.645,3.895
930,1.45,4.025
931,1.39,4.065
932,1.305,4.105
933,1.58,3.93
934,1.6,3.9
935,1.41,4.06
936,1.495,3.995
937,1.365,4.065
938,1.43,4.03
939,1.455,3.955
940,1.665,3.815
941,1.305,4.13
942,1.35,4.075
943,1.49,3.99
944,1.4,4.025
945,1.585,3.885
946,1.395,4.045
947,1.485,3.985
948,1.58,3.905
949,1.63,3.88
950,1.605,3.905
951,1.58,3.93
952,1.62,3.92
953,1.535,3.96
954,1.665,3.84
955,1.55,3.9
956,1.39,4.04
957,1.42,3.97
958,1.47,3.995
959,1.525,3.925
960,1.445,4.02
961,1.585,3.91
962,1.57,3.895
963,1.395,4.07
964,1.53,3.955
965,1.545,3.97
966,1.485,3.985
967,1.69,3.84
968,1.43,3.98
969,1.57,3.92
970,1.64,3.865
971,1.47,3.945
972,1.54,3.94
973,1.395,4.045
974,1.625,3.9
975,1.39,4.015
976,1.47,3.995
977,1.585,3.91
978,1.385,4.035
979,1.335,4.06
980,1.83,3.705
981,1.75,3.825
982,1.65,3.875
983,1.57,3.92
984,1.42,4.045
985,1.485,3.985
986,1.605,3.905
987,1.56,3.935
988,1.47,3.995
989,1.375,4.075
990,1.52,3.97
991,1.53,3.93
992,1.575,3.9
993,1.49,3.99
994,1.455,3.955
995,1.4,4.05
996,1.645,3.87
997,1.6,3.875
998,1.51,3.935
999,1.65,3.875
