,NeuralAgent_RandomChoiceAgent_rng,RandomChoiceAgent
0,1.945,2.795
1,1.95,2.575
2,2.155,2.605
3,1.97,2.52
4,2.31,2.135
5,2.61,1.91
6,2.32,2.045
7,2.365,1.74
8,2.41,1.585
9,2.56,1.41
10,2.545,1.495
11,2.765,1.415
12,2.855,1.18
13,2.44,1.465
14,2.575,1.425
15,2.455,1.405
16,2.78,1.405
17,2.565,1.515
18,2.47,1.62
19,2.545,1.645
20,2.265,1.765
21,2.615,1.64
22,2.39,1.665
23,2.44,1.565
24,2.33,1.755
25,2.74,1.315
26,2.34,1.69
27,2.705,1.58
28,2.27,1.72
29,2.44,1.715
30,2.71,1.535
31,2.555,1.68
32,2.605,1.58
33,2.435,1.61
34,2.605,1.555
35,2.675,1.475
36,2.53,1.505
37,2.605,1.63
38,2.525,1.5
39,2.855,1.18
40,2.4,1.275
41,2.595,1.545
42,2.7,1.35
43,2.365,1.515
44,2.56,1.26
45,2.905,1.105
46,2.505,1.255
47,2.835,1.085
48,2.84,1.14
49,2.545,1.42
50,2.63,1.28
51,2.655,1.28
52,2.62,1.47
53,2.635,1.56
54,2.62,1.495
55,2.545,1.42
56,2.455,1.73
57,2.725,1.4
58,2.665,1.39
59,2.56,1.435
60,2.655,1.155
61,2.62,1.22
62,2.565,1.29
63,2.665,1.065
64,2.675,1.25
65,2.77,1.02
66,2.785,1.035
67,2.76,0.935
68,2.805,0.955
69,2.555,1.08
70,2.855,0.805
71,2.555,0.98
72,2.735,0.91
73,2.88,0.83
74,2.605,0.805
75,2.92,0.72
76,2.91,0.685
77,2.98,0.655
78,2.78,0.68
79,3.035,0.685
80,2.98,0.705
81,2.75,0.75
82,3.0,0.625
83,2.935,0.635
84,3.085,0.685
85,2.965,0.69
86,3.01,0.66
87,2.99,0.615
88,2.93,0.68
89,2.735,0.71
90,2.565,0.815
91,3.045,0.595
92,2.815,0.79
93,2.84,0.715
94,2.755,0.68
95,2.715,0.765
96,2.72,0.895
97,2.945,0.595
98,3.16,0.485
99,2.95,0.575
100,2.695,0.645
101,2.935,0.585
102,2.92,0.62
103,3.005,0.555
104,3.165,0.515
105,2.905,0.555
106,2.75,0.65
107,2.93,0.555
108,2.865,0.665
109,2.92,0.545
110,3.045,0.545
111,2.865,0.565
112,2.685,0.66
113,2.945,0.645
114,3.145,0.52
115,3.15,0.5
116,3.05,0.575
117,3.305,0.455
118,2.845,0.62
119,3.285,0.51
120,2.78,0.58
121,2.88,0.63
122,2.91,0.56
123,2.95,0.525
124,2.97,0.52
125,3.1,0.475
126,3.11,0.51
127,3.065,0.515
128,3.04,0.515
129,2.925,0.65
130,2.955,0.63
131,2.915,0.565
132,2.92,0.67
133,2.875,0.7
134,2.77,0.845
135,2.915,0.565
136,3.04,0.54
137,2.805,0.905
138,3.05,0.575
139,3.0,0.625
140,3.09,0.565
141,2.775,0.725
142,2.805,0.73
143,2.92,0.67
144,3.065,0.54
145,3.02,0.495
146,2.92,0.695
