,NeuralAgent_Student16_200bAgent,Student16_200bAgent
0,4.94,0.065
1,4.085,1.36
2,4.015,1.465
3,3.97,1.52
4,3.97,1.52
5,4.01,1.46
6,3.795,1.795
7,4.045,1.42
8,3.845,1.72
9,3.935,1.585
10,3.865,1.69
11,4.02,1.445
12,3.995,1.495
13,3.895,1.645
14,3.87,1.67
15,4.045,1.42
16,4.025,1.45
17,4.07,1.37
18,3.87,1.67
19,3.95,1.55
20,3.99,1.49
21,4.035,1.435
22,3.96,1.535
23,4.065,1.39
24,3.895,1.645
25,4.045,1.42
26,3.855,1.705
27,3.88,1.655
28,3.83,1.73
29,3.92,1.595
30,3.905,1.63
31,3.85,1.7
32,3.95,1.55
33,3.88,1.655
34,3.775,1.825
35,3.78,1.805
36,3.835,1.735
37,3.845,1.72
38,4.015,1.465
39,3.78,1.805
40,3.96,1.535
41,3.92,1.595
42,3.915,1.615
43,3.855,1.705
44,3.845,1.72
45,3.96,1.535
46,3.93,1.58
47,3.905,1.63
48,3.905,1.63
49,4.005,1.48
50,3.9,1.625
51,3.92,1.595
52,3.895,1.645
53,3.755,1.855
54,3.845,1.72
55,3.935,1.585
56,3.915,1.615
57,3.915,1.615
58,3.805,1.78
59,3.88,1.655
60,3.895,1.645
61,3.99,1.49
62,3.82,1.745
63,3.775,1.825
64,3.87,1.67
65,3.835,1.735
66,3.88,1.655
67,3.865,1.69
68,3.895,1.645
69,3.74,1.865
70,3.75,1.85
71,3.835,1.735
72,3.79,1.79
73,3.805,1.78
74,3.83,1.73
75,3.79,1.79
76,3.8,1.775
77,3.8,1.775
78,3.835,1.735
79,3.8,1.775
80,3.89,1.64
81,3.825,1.75
82,3.75,1.85
83,3.78,1.805
84,3.82,1.745
85,3.775,1.825
86,3.745,1.87
87,3.65,2.0
88,3.68,1.955
89,3.765,1.84
90,3.765,1.84
91,3.915,1.615
92,3.76,1.835
93,3.72,1.895
94,3.7,1.925
95,3.785,1.81
96,3.76,1.835
97,3.665,1.99
98,3.685,1.96
99,3.73,1.88
100,3.725,1.9
101,3.905,1.63
102,3.83,1.73
103,3.565,2.14
104,3.705,1.93
105,3.805,1.78
106,3.625,2.05
107,3.67,1.97
108,3.79,1.79
109,3.695,1.945
110,3.765,1.84
111,3.665,1.99
112,3.64,2.015
113,3.75,1.85
114,3.58,2.105
115,3.615,2.065
116,3.775,1.825
117,3.725,1.9
118,3.695,1.945
119,3.605,2.08
120,3.625,2.05
121,3.605,2.08
122,3.515,2.215
123,3.7,1.925
124,3.67,1.97
125,3.765,1.84
126,3.715,1.915
127,3.605,2.08
128,3.65,2.0
129,3.645,2.02
130,3.445,2.32
131,3.52,2.195
132,3.615,2.065
133,3.605,2.08
134,3.615,2.065
135,3.575,2.125
136,3.515,2.215
137,3.655,2.005
138,3.51,2.21
139,3.625,2.05
140,3.475,2.275
141,3.515,2.215
142,3.565,2.14
143,3.435,2.335
144,3.595,2.095
145,3.535,2.185
146,3.555,2.155
147,3.52,2.195
148,3.59,2.09
149,3.57,2.12
150,3.425,2.35
151,3.485,2.26
152,3.375,2.425
153,3.515,2.215
154,3.49,2.24
155,3.415,2.365
156,3.555,2.155
157,3.475,2.275
158,3.505,2.23
159,3.555,2.155
160,3.525,2.2
161,3.555,2.155
162,3.515,2.215
163,3.39,2.39
164,3.405,2.38
165,3.455,2.305
166,3.505,2.23
167,3.535,2.185
168,3.44,2.315
169,3.425,2.35
170,3.405,2.38
171,3.435,2.335
172,3.505,2.23
173,3.425,2.35
174,3.425,2.35
175,3.38,2.405
176,3.315,2.515
177,3.485,2.26
178,3.465,2.29
179,3.375,2.425
180,3.285,2.56
181,3.365,2.44
182,3.315,2.515
183,3.455,2.305
184,3.375,2.425
185,3.425,2.35
186,3.5,2.225
187,3.375,2.425
188,3.355,2.455
189,3.365,2.44
190,3.315,2.515
191,3.465,2.29
192,3.415,2.365
193,3.345,2.47
194,3.34,2.465
195,3.375,2.425
196,3.315,2.515
197,3.255,2.605
198,3.295,2.545
199,3.33,2.48
200,3.365,2.44
201,3.31,2.51
202,3.245,2.62
203,3.305,2.53
204,3.315,2.515
205,3.395,2.395
206,3.345,2.47
207,3.245,2.62
208,3.355,2.455
209,3.325,2.5
210,3.225,2.65
211,3.325,2.5
212,3.36,2.435
213,3.235,2.635
214,3.345,2.47
215,3.29,2.54
216,3.235,2.635
217,3.28,2.555
218,3.285,2.56
219,3.35,2.45
220,3.185,2.71
221,3.345,2.47
222,3.225,2.65
223,3.215,2.665
224,3.335,2.485
225,3.245,2.62
226,3.255,2.605
227,3.25,2.6
228,3.23,2.63
229,3.165,2.74
230,3.215,2.665
231,3.185,2.71
232,3.165,2.74
233,3.275,2.575
234,3.245,2.62
235,3.165,2.74
236,3.265,2.59
237,3.22,2.645
238,3.2,2.675
239,3.155,2.755
240,3.185,2.71
241,3.205,2.68
242,3.205,2.68
243,3.185,2.71
244,3.215,2.665
245,3.15,2.75
246,3.195,2.695
247,3.175,2.725
248,3.18,2.705
249,3.205,2.68
250,3.295,2.545
251,3.145,2.77
252,3.115,2.815
253,3.225,2.65
254,3.155,2.755
255,3.12,2.795
256,3.155,2.755
257,3.135,2.785
258,3.175,2.725
259,3.135,2.785
260,3.195,2.695
261,3.145,2.77
262,3.205,2.68
263,3.145,2.77
264,3.135,2.785
265,3.12,2.795
266,3.105,2.83
267,3.175,2.725
268,3.185,2.71
269,3.115,2.815
270,3.165,2.74
271,3.135,2.785
272,3.115,2.815
273,3.165,2.74
274,3.105,2.83
275,3.135,2.785
276,3.175,2.725
277,3.12,2.795
278,3.155,2.755
279,3.105,2.83
280,3.105,2.83
281,3.095,2.845
282,3.155,2.755
283,3.105,2.83
284,3.145,2.77
285,3.145,2.77
286,3.165,2.74
287,3.09,2.84
288,3.075,2.875
289,3.165,2.74
290,3.105,2.83
291,3.075,2.875
292,3.105,2.83
293,3.115,2.815
294,3.105,2.83
295,3.115,2.815
296,3.045,2.92
297,3.105,2.83
298,3.155,2.755
299,3.095,2.845
300,3.105,2.83
301,3.085,2.86
302,3.085,2.86
303,3.065,2.89
304,3.075,2.875
305,3.1,2.825
306,3.105,2.83
307,3.115,2.815
308,3.085,2.86
309,3.035,2.935
310,3.115,2.815
311,3.135,2.785
312,3.075,2.875
313,3.055,2.905
314,3.105,2.83
315,3.105,2.83
316,3.11,2.81
317,3.115,2.815
318,3.095,2.845
319,3.075,2.875
320,3.105,2.83
321,3.095,2.845
322,3.085,2.86
323,3.125,2.8
324,3.165,2.74
325,3.045,2.92
326,3.095,2.845
327,3.085,2.86
328,3.085,2.86
329,3.135,2.785
330,3.035,2.935
331,3.08,2.855
332,3.105,2.83
333,3.055,2.905
