,NeuralAgent_Student17_200bAgent_rng,Student17_200bAgent
0,1.065,1.09
1,0.56,3.085
2,0.61,2.91
3,0.555,3.13
4,0.58,3.005
5,0.575,2.975
6,0.52,3.195
7,0.615,2.865
8,0.55,3.1
9,0.515,3.265
10,0.585,3.01
11,0.575,3.025
12,0.555,3.08
13,0.585,2.985
14,0.55,3.15
15,0.655,2.755
16,0.63,2.78
17,0.625,2.825
18,0.585,2.985
19,0.52,3.27
20,0.58,2.955
21,0.535,3.16
22,0.56,3.11
23,0.615,2.865
24,0.585,3.01
25,0.59,2.965
26,0.62,2.845
27,0.535,3.185
28,0.54,3.165
29,0.63,2.83
30,0.525,3.2
31,0.615,2.915
32,0.59,2.965
33,0.54,3.09
34,0.63,2.78
35,0.54,3.115
36,0.66,2.735
37,0.515,3.29
38,0.58,2.955
39,0.55,3.075
40,0.605,2.93
41,0.515,3.24
42,0.575,2.975
43,0.565,3.115
44,0.55,3.125
45,0.555,3.105
46,0.56,3.035
47,0.535,3.185
48,0.59,2.99
49,0.57,2.995
50,0.555,3.105
51,0.65,2.725
52,0.585,2.985
53,0.57,2.995
54,0.57,3.07
55,0.51,3.235
56,0.56,3.06
57,0.545,3.145
58,0.515,3.215
59,0.55,3.125
60,0.56,3.085
61,0.54,3.14
62,0.545,3.12
63,0.535,3.185
64,0.585,2.985
65,0.54,3.14
66,0.545,3.095
67,0.535,3.185
68,0.57,3.02
69,0.505,3.255
70,0.565,3.04
71,0.59,2.99
72,0.575,3.0
73,0.565,3.015
74,0.6,2.95
75,0.56,3.11
76,0.595,2.97
77,0.525,3.25
78,0.515,3.29
79,0.585,3.01
80,0.58,3.005
81,0.56,3.06
82,0.54,3.165
83,0.62,2.87
84,0.52,3.245
85,0.485,3.385
86,0.54,3.14
87,0.555,3.08
88,0.555,3.055
89,0.52,3.27
90,0.515,3.265
91,0.56,3.085
92,0.57,3.02
93,0.545,3.145
94,0.55,3.125
95,0.53,3.18
96,0.49,3.365
97,0.525,3.175
98,0.535,3.16
99,0.5,3.275
100,0.535,3.21
101,0.575,3.0
102,0.505,3.28
103,0.525,3.175
104,0.53,3.205
105,0.55,3.125
106,0.51,3.285
107,0.485,3.31
108,0.54,3.165
109,0.555,3.08
110,0.575,3.025
111,0.545,3.12
112,0.49,3.315
113,0.525,3.225
114,0.58,2.98
115,0.525,3.2
116,0.565,3.04
117,0.53,3.23
118,0.6,2.925
119,0.565,3.065
120,0.53,3.155
121,0.495,3.295
122,0.54,3.14
123,0.515,3.19
124,0.52,3.22
125,0.53,3.205
126,0.54,3.14
127,0.515,3.215
