,NeuralAgent_Student1_200aAgent,Student1_200aAgent
0,1.53,1.83
1,1.405,2.405
2,1.325,2.6
3,1.385,2.36
4,1.405,2.355
5,1.38,2.205
6,1.34,2.69
7,1.355,2.53
8,1.405,2.655
9,1.29,2.59
10,1.215,2.615
11,1.41,2.485
12,1.305,2.53
13,1.34,2.59
14,1.28,2.505
15,1.35,2.325
16,1.265,2.64
17,1.37,2.445
18,1.315,2.665
19,1.325,2.65
20,1.33,2.505
21,1.305,2.405
22,1.355,2.605
23,1.365,2.39
24,1.33,2.555
25,1.38,2.08
26,1.31,2.66
27,1.305,2.505
28,1.35,2.55
29,1.36,2.56
30,1.29,2.715
31,1.345,2.595
32,1.375,2.525
33,1.28,2.705
34,1.275,2.625
35,1.27,2.62
36,1.385,2.61
37,1.195,2.895
38,1.375,2.475
39,1.285,2.66
40,1.31,2.56
41,1.31,2.76
42,1.345,2.52
43,1.315,2.69
44,1.335,2.435
45,1.34,2.465
46,1.34,2.49
47,1.315,2.49
48,1.315,2.465
49,1.435,2.41
50,1.345,2.595
51,1.37,2.495
52,1.33,2.555
53,1.295,2.82
54,1.34,2.615
55,1.24,2.715
56,1.445,2.52
57,1.295,2.67
58,1.395,2.245
59,1.3,2.725
60,1.51,2.66
61,1.435,2.56
62,1.385,2.56
63,1.38,2.555
64,1.305,2.63
65,1.335,2.635
66,1.4,2.55
67,1.375,2.6
68,1.32,2.52
69,1.39,2.665
70,1.255,2.68
71,1.29,2.64
72,1.34,2.49
73,1.3,2.75
74,1.475,2.725
75,1.325,2.675
76,1.405,2.705
77,1.35,2.375
78,1.305,2.705
79,1.23,2.98
80,1.405,2.705
81,1.35,2.575
82,1.31,2.835
83,1.34,2.64
84,1.46,2.71
85,1.35,2.6
86,1.295,2.67
87,1.26,2.66
88,1.25,2.8
89,1.345,2.72
90,1.265,2.715
91,1.425,2.625
92,1.25,2.575
93,1.255,2.68
94,1.335,2.735
95,1.355,2.555
96,1.505,2.78
97,1.315,2.69
98,1.29,2.765
99,1.36,2.535
100,1.29,2.815
101,1.575,2.575
102,1.365,2.465
103,1.145,2.87
104,1.475,2.725
105,1.265,2.84
106,1.355,2.605
107,1.525,2.625
108,1.325,2.725
109,1.435,2.71
110,1.355,2.755
111,1.355,2.605
112,1.24,2.965
113,1.365,2.79
114,1.32,2.62
115,1.31,2.76
116,1.285,2.71
117,1.315,2.965
118,1.29,2.84
119,1.23,3.03
120,1.24,2.94
121,1.26,2.985
122,1.23,3.03
123,1.355,2.905
124,1.345,2.795
125,1.24,2.74
126,1.305,2.805
127,1.295,2.895
128,1.345,2.795
129,1.27,2.97
130,1.23,2.955
131,1.245,2.97
132,1.39,2.64
133,1.28,2.805
134,1.23,2.905
135,1.33,3.03
136,1.185,2.885
137,1.57,2.52
138,1.315,2.915
139,1.295,2.92
140,1.26,3.01
141,1.235,2.96
142,1.405,2.855
143,1.3,2.9
144,1.375,2.875
145,1.32,2.995
146,1.25,2.85
147,1.205,3.18
148,1.265,2.915
149,1.225,3.05
150,1.195,3.095
151,1.34,2.79
152,1.535,3.11
153,1.29,2.94
154,1.255,2.93
155,1.34,2.965
156,1.22,2.895
157,1.19,3.09
158,1.275,3.15
159,1.21,3.135
160,1.21,3.085
161,1.415,2.99
162,1.415,2.89
163,1.235,3.01
164,1.24,3.09
165,1.26,2.91
166,1.28,3.03
167,1.25,3.025
168,1.36,3.16
169,1.38,3.155
170,1.35,2.9
171,1.24,3.115
172,1.44,2.865
173,1.43,3.03
174,1.32,2.87
175,1.375,3.125
176,1.135,3.185
177,1.33,3.18
178,1.295,3.095
179,1.215,3.09
180,1.39,3.315
181,1.295,3.27
182,1.39,3.215
183,1.405,2.98
184,1.25,3.175
185,1.25,3.1
186,1.48,2.78
187,1.36,3.085
188,1.42,3.02
189,1.21,3.16
190,1.34,3.215
191,1.335,2.985
192,1.195,3.27
193,1.22,3.095
194,1.375,3.075
195,1.3,3.25
196,1.375,3.125
197,1.43,3.105
198,1.285,3.435
199,1.24,3.24
200,1.38,3.305
201,1.205,3.055
202,1.3,3.125
203,1.285,3.31
204,1.245,3.22
205,1.17,3.22
206,1.295,3.145
207,1.44,3.165
208,1.275,3.125
209,1.34,3.24
210,1.455,3.255
211,1.465,3.04
212,1.175,3.225
213,1.225,3.35
214,1.21,3.26
215,1.32,3.345
216,1.185,3.36
217,1.34,3.34
218,1.165,3.44
219,1.29,3.29
220,1.325,3.45
221,1.285,3.235
222,1.285,3.31
223,1.24,3.415
224,1.32,3.395
225,1.225,3.375
226,1.44,3.19
227,1.21,3.435
228,1.28,3.43
229,1.22,3.22
230,1.46,3.31
231,1.09,3.54
232,1.415,3.34
233,1.27,3.22
234,1.27,3.37
235,1.145,3.445
236,1.275,3.1
237,1.46,3.435
238,1.125,3.45
239,1.325,3.225
240,1.42,3.37
241,1.115,3.465
242,1.475,3.275
243,1.24,3.315
244,1.18,3.43
245,1.15,3.45
246,1.2,3.375
247,1.215,3.54
248,1.25,3.25
249,1.38,3.23
250,1.16,3.26
251,1.365,3.315
252,1.55,3.5
253,1.335,3.335
254,1.28,3.53
255,1.255,3.43
256,1.33,3.43
257,1.29,3.39
258,1.34,3.265
259,1.545,3.42
260,1.15,3.325
261,1.39,3.14
262,1.355,3.455
263,1.4,3.525
264,1.43,3.48
265,1.175,3.55
266,1.335,3.385
267,1.105,3.505
268,1.33,3.48
269,1.305,3.505
270,1.11,3.66
271,1.38,3.505
272,1.545,3.37
273,1.445,3.445
274,1.46,3.335
275,1.465,3.365
276,1.53,3.405
277,1.9,3.25
278,1.08,3.605
279,1.345,3.42
280,1.63,3.38
281,1.415,3.415
282,1.18,3.63
283,1.24,3.54
284,1.555,3.33
285,1.56,3.235
286,1.5,3.35
287,1.4,3.45
288,1.45,3.5
289,1.105,3.43
290,1.275,3.575
291,1.4,3.575
292,1.245,3.42
293,1.28,3.455
294,1.38,3.355
295,1.2,3.525
296,1.395,3.445
297,1.53,3.355
298,1.49,3.49
299,1.16,3.485
300,1.32,3.42
301,1.6,3.45
