,NeuralAgent_Student22_200mAgent_rng,Student22_200mAgent
0,1.58,1.455
1,1.955,1.83
2,2.025,1.925
3,2.0,1.875
4,1.925,1.825
5,1.905,1.78
6,1.945,1.82
7,1.975,1.875
8,1.985,1.86
9,2.015,1.89
10,2.06,1.935
11,1.995,1.87
12,1.995,1.87
13,2.07,1.97
14,2.09,1.965
15,2.025,1.9
16,1.9,1.775
17,1.91,1.81
18,2.035,1.935
19,1.945,1.82
20,2.065,1.94
21,2.18,2.08
22,2.05,1.95
23,1.995,1.895
24,2.16,2.06
25,1.965,1.84
26,2.175,2.05
27,2.07,1.945
28,2.005,1.905
29,1.99,1.89
30,2.03,1.905
31,2.035,1.91
32,2.06,1.935
33,2.085,1.96
34,2.165,2.04
35,2.055,1.93
36,1.975,1.875
37,2.13,2.03
38,2.02,1.92
39,1.95,1.85
40,2.065,1.965
41,2.02,1.895
42,1.935,1.81
43,2.135,2.035
44,1.995,1.87
45,2.11,1.985
46,2.06,1.96
47,2.075,1.95
48,2.085,1.985
49,2.165,2.04
50,2.28,2.155
51,2.1,1.975
52,1.94,1.815
53,2.13,2.03
54,1.96,1.835
55,2.18,2.055
56,2.095,1.97
57,2.125,2.0
58,2.075,1.95
59,1.985,1.885
60,2.005,1.905
61,2.17,2.045
62,2.125,2.0
63,2.205,2.08
64,2.115,2.015
65,2.225,2.125
66,2.055,1.93
67,1.99,1.89
68,2.07,1.97
69,2.25,2.125
70,2.075,1.975
71,2.16,2.035
72,2.255,2.13
73,2.18,2.055
74,2.14,2.015
75,2.185,2.085
76,2.08,1.955
77,2.085,1.985
78,2.135,2.01
79,2.015,1.915
80,2.17,2.07
81,2.185,2.085
82,2.11,2.01
83,2.1,1.975
84,2.185,2.06
85,2.195,2.095
86,2.19,2.09
87,2.15,2.025
88,2.095,1.995
89,2.305,2.18
90,2.245,2.12
91,2.3,2.175
92,2.23,2.105
93,2.15,2.05
94,2.185,2.06
95,2.225,2.1
96,2.275,2.175
97,2.24,2.115
98,2.145,2.045
99,2.18,2.055
100,2.32,2.22
101,2.15,2.05
102,2.2,2.1
103,2.255,2.13
104,2.145,2.02
105,2.275,2.15
106,2.3,2.175
107,2.285,2.185
108,2.275,2.15
109,2.265,2.14
110,2.25,2.15
111,2.215,2.09
112,2.31,2.21
113,2.3,2.2
114,2.275,2.15
115,2.2,2.075
116,2.345,2.245
117,2.405,2.305
118,2.165,2.065
119,2.2,2.1
120,2.21,2.085
121,2.29,2.19
122,2.195,2.07
123,2.365,2.265
124,2.235,2.135
125,2.24,2.115
126,2.185,2.085
127,2.38,2.255
128,2.215,2.115
129,2.34,2.215
130,2.37,2.245
131,2.28,2.18
132,2.235,2.135
133,2.315,2.215
134,2.175,2.05
135,2.37,2.245
136,2.15,2.05
137,2.23,2.105
138,2.185,2.06
139,2.18,2.08
140,2.275,2.15
141,2.24,2.115
142,2.275,2.15
143,2.4,2.275
144,2.265,2.14
145,2.185,2.06
146,2.225,2.1
147,2.265,2.14
148,2.365,2.24
149,2.27,2.17
150,2.305,2.18
151,2.175,2.075
152,2.205,2.08
153,2.39,2.29
154,2.33,2.205
155,2.3,2.2
156,2.295,2.17
157,2.26,2.16
158,2.32,2.22
159,2.16,2.035
160,2.44,2.34
161,2.195,2.095
162,2.13,2.005
163,2.305,2.18
164,2.345,2.22
165,2.3,2.2
166,2.415,2.315
167,2.34,2.24
168,2.275,2.175
169,2.33,2.205
170,2.305,2.18
171,2.225,2.125
172,2.32,2.195
173,2.305,2.18
174,2.41,2.285
175,2.35,2.25
176,2.285,2.185
177,2.27,2.145
178,2.385,2.26
179,2.24,2.115
180,2.325,2.2
181,2.225,2.1
182,2.335,2.235
183,2.295,2.17
184,2.39,2.265
185,2.305,2.18
186,2.38,2.255
187,2.32,2.195
188,2.27,2.145
189,2.36,2.26
190,2.39,2.29
191,2.29,2.19
192,2.345,2.245
193,2.43,2.305
194,2.32,2.22
195,2.35,2.25
196,2.355,2.255
197,2.31,2.185
198,2.365,2.24
199,2.245,2.145
200,2.36,2.235
201,2.41,2.285
202,2.215,2.115
203,2.34,2.215
204,2.22,2.12
205,2.435,2.335
206,2.26,2.135
207,2.37,2.245
208,2.275,2.15
209,2.375,2.275
210,2.27,2.17
211,2.285,2.185
212,2.235,2.135
213,2.27,2.145
214,2.26,2.135
215,2.32,2.22
216,2.335,2.235
217,2.435,2.31
218,2.405,2.305
219,2.295,2.195
220,2.19,2.065
221,2.425,2.325
222,2.335,2.21
223,2.275,2.175
224,2.225,2.1
225,2.39,2.265
226,2.32,2.195
227,2.27,2.145
228,2.19,2.065
229,2.4,2.275
230,2.34,2.24
231,2.36,2.26
232,2.25,2.15
233,2.175,2.05
234,2.335,2.21
235,2.41,2.31
236,2.325,2.225
237,2.35,2.225
238,2.305,2.18
239,2.28,2.18
240,2.365,2.24
241,2.405,2.305
242,2.23,2.13
243,2.26,2.16
244,2.44,2.34
245,2.255,2.13
246,2.37,2.245
247,2.4,2.3
248,2.465,2.365
249,2.38,2.255
250,2.32,2.22
251,2.315,2.19
252,2.325,2.225
253,2.29,2.19
254,2.255,2.13
255,2.38,2.255
256,2.35,2.225
257,2.53,2.405
258,2.365,2.24
259,2.45,2.325
260,2.315,2.215
261,2.375,2.275
262,2.24,2.115
263,2.385,2.26
264,2.335,2.235
265,2.365,2.265
266,2.435,2.31
267,2.355,2.23
268,2.355,2.23
269,2.315,2.19
270,2.325,2.225
271,2.205,2.08
272,2.255,2.155
273,2.33,2.23
274,2.17,2.07
275,2.32,2.195
276,2.22,2.095
277,2.315,2.215
278,2.38,2.28
279,2.505,2.38
280,2.325,2.2
281,2.24,2.115
282,2.34,2.215
283,2.31,2.185
284,2.41,2.285
285,2.32,2.22
286,2.38,2.28
287,2.3,2.175
288,2.37,2.27
289,2.48,2.355
290,2.32,2.195
291,2.3,2.2
292,2.35,2.225
293,2.29,2.19
294,2.41,2.285
295,2.485,2.385
296,2.3,2.2
297,2.465,2.34
298,2.31,2.21
299,2.425,2.325
300,2.18,2.08
301,2.325,2.225
302,2.41,2.31
303,2.22,2.095
304,2.31,2.185
305,2.265,2.165
306,2.38,2.255
307,2.39,2.265
308,2.385,2.26
309,2.38,2.28
310,2.3,2.2
311,2.43,2.33
