,NeuralAgent_Student26_200mAgent,Student26_200mAgent
0,2.295,2.245
1,2.235,2.235
2,2.26,2.235
3,2.42,2.345
4,2.25,2.225
5,2.445,2.42
6,2.295,2.295
7,2.225,2.2
8,2.46,2.435
9,2.265,2.19
10,2.45,2.425
11,2.32,2.245
12,2.3,2.275
13,2.365,2.34
14,2.31,2.285
15,2.275,2.25
16,2.3,2.275
17,2.355,2.355
18,2.29,2.29
19,2.295,2.145
20,2.37,2.345
21,2.425,2.25
22,2.33,2.305
23,2.23,2.18
24,2.24,2.215
25,2.36,2.31
26,2.205,2.155
27,2.325,2.3
28,2.285,2.26
29,2.335,2.185
30,2.285,2.26
31,2.245,2.195
32,2.305,2.255
33,2.43,2.405
34,2.185,2.16
35,2.365,2.34
36,2.305,2.28
37,2.405,2.38
38,2.23,2.205
39,2.135,2.11
40,2.37,2.245
41,2.175,2.15
42,2.17,2.145
43,2.165,2.14
44,2.26,2.235
45,2.35,2.325
46,2.295,2.27
47,2.34,2.315
48,2.29,2.265
49,2.27,2.195
50,2.435,2.385
51,2.3,2.175
52,2.37,2.27
53,2.215,2.215
54,2.27,2.245
55,2.295,2.245
56,2.28,2.23
57,2.21,2.21
58,2.21,2.21
59,2.23,2.23
60,2.325,2.25
61,2.25,2.225
62,2.33,2.33
63,2.235,2.21
64,2.195,2.195
65,2.335,2.285
66,2.305,2.255
67,2.355,2.33
68,2.27,2.27
69,2.285,2.285
70,2.25,2.25
71,2.36,2.26
72,2.055,2.055
73,2.245,2.22
74,2.285,2.06
75,2.225,2.2
76,2.235,2.135
77,2.225,2.175
78,2.24,2.215
79,2.255,2.205
80,2.375,2.325
81,2.275,2.175
82,2.2,2.175
83,2.33,2.33
84,2.35,2.3
85,2.24,2.215
86,2.315,2.19
87,2.21,2.185
88,2.365,2.29
89,2.165,2.115
90,2.36,2.285
91,2.265,2.215
92,2.195,2.095
93,2.17,2.145
94,2.29,2.265
95,2.245,2.195
96,2.26,2.21
97,2.215,2.19
98,2.19,2.165
99,2.225,2.175
100,2.23,2.18
101,2.25,2.2
102,2.28,2.28
103,2.225,2.2
104,2.29,2.265
105,2.32,2.295
106,2.18,2.08
107,2.095,2.045
108,2.315,2.315
109,2.265,2.265
110,2.24,2.24
111,2.27,2.195
112,2.235,2.235
113,2.235,2.21
114,2.245,2.245
115,2.205,2.18
116,2.29,2.24
117,2.245,2.22
118,2.23,2.155
119,2.235,2.16
120,2.42,2.37
121,2.275,2.1
122,2.215,2.19
123,2.305,2.23
124,2.315,2.29
125,2.36,2.335
126,2.185,2.185
127,2.195,2.145
128,2.28,2.23
129,2.295,2.295
130,2.31,2.235
131,2.305,2.305
132,2.225,2.2
133,2.305,2.205
134,2.215,2.19
135,2.275,2.175
136,2.3,2.3
137,2.36,2.36
138,2.365,2.165
139,2.2,2.175
140,2.28,2.255
141,2.19,2.19
142,2.255,2.255
143,2.09,2.015
144,2.345,2.295
145,2.275,2.25
146,2.35,2.2
147,2.29,2.215
148,2.25,2.25
149,2.37,2.37
150,2.24,2.19
151,2.21,2.16
152,2.125,2.1
153,2.185,2.16
154,2.275,2.25
155,2.33,2.305
156,2.235,2.21
157,2.24,2.215
158,2.175,2.15
159,2.23,2.205
160,2.245,2.195
161,2.25,2.175
162,2.375,2.35
163,2.37,2.37
164,2.23,2.23
165,2.23,2.205
166,2.265,2.24
167,2.31,2.235
168,2.245,2.245
169,2.26,2.235
170,2.13,2.105
171,2.28,2.255
172,2.235,2.21
173,2.195,2.17
174,2.375,2.375
175,2.25,2.25
176,2.13,2.105
177,2.235,2.21
178,2.385,2.36
179,2.29,2.265
180,2.19,2.19
181,2.135,2.06
182,2.24,2.215
183,2.32,2.27
184,2.13,2.105
185,2.19,2.19
186,2.16,2.085
187,2.235,2.16
188,2.38,2.38
189,2.23,2.205
190,2.205,2.155
191,2.285,2.26
192,2.44,2.415
193,2.3,2.275
194,2.34,2.315
195,2.255,2.23
196,2.255,2.255
197,2.195,2.195
198,2.265,2.24
199,2.21,2.21
200,2.21,2.16
