,NeuralAgent_Student4_200aAgent_rng,Student4_200aAgent
0,2.035,2.61
1,2.37,2.37
2,2.45,2.4
3,2.315,2.515
4,2.335,2.46
5,2.15,2.775
6,2.215,2.515
7,2.255,2.63
8,2.42,2.595
9,2.52,2.52
10,2.365,2.765
11,2.215,2.54
12,2.37,2.47
13,2.33,2.68
14,2.375,2.6
15,2.345,2.495
16,2.22,2.695
17,2.015,2.465
18,2.31,2.735
19,2.01,2.735
20,2.205,2.53
21,2.485,2.535
22,2.19,2.765
23,2.355,2.48
24,2.39,2.49
25,2.39,2.565
26,2.145,2.57
27,2.15,2.575
28,2.57,2.545
29,2.355,2.73
30,2.34,2.59
31,1.905,2.53
32,2.08,2.555
33,2.265,2.74
34,2.46,2.635
35,2.445,2.57
36,2.245,2.72
37,2.56,2.61
38,2.465,2.34
39,2.285,2.535
40,2.31,2.585
41,2.235,2.585
42,2.53,2.63
43,2.36,2.71
44,2.54,2.615
45,2.47,2.62
46,2.59,2.665
47,2.235,2.585
48,2.395,2.595
49,2.63,2.505
50,2.37,2.645
51,2.36,2.585
52,2.33,2.53
53,2.49,2.615
54,2.33,2.68
55,2.49,2.49
56,2.58,2.605
57,2.385,2.51
58,2.34,2.74
59,2.375,2.775
60,2.325,2.65
61,2.365,2.615
62,2.26,2.66
63,2.57,2.645
64,2.54,2.69
65,2.835,2.51
66,2.44,2.74
67,2.605,2.555
68,2.3,2.8
69,2.24,2.79
70,2.21,2.66
71,2.26,2.71
72,2.395,2.695
73,2.075,2.825
74,2.405,2.805
75,2.32,2.62
76,2.525,2.775
77,2.275,2.85
78,2.64,2.54
79,2.34,2.665
80,2.345,2.695
81,2.635,2.585
82,2.395,2.645
83,2.545,2.62
84,2.25,2.75
85,2.555,2.53
86,2.755,2.655
87,2.53,2.605
88,2.48,2.555
89,2.13,2.905
90,2.495,2.595
91,2.55,2.65
92,2.57,2.82
93,2.57,2.645
94,2.425,2.775
95,2.48,2.68
96,2.405,2.83
97,2.54,2.715
98,2.69,2.59
99,2.495,2.795
100,2.265,2.715
101,2.375,2.625
102,2.635,2.735
103,2.495,2.745
104,2.46,2.86
105,2.62,2.545
106,2.59,2.715
107,2.62,2.495
108,2.68,2.53
109,2.495,2.77
110,2.54,2.765
111,2.39,2.865
112,2.45,2.725
113,2.59,2.765
114,2.275,2.75
115,2.495,2.62
116,2.455,2.83
117,2.635,2.76
118,2.55,2.75
119,2.685,2.635
120,2.525,2.8
121,2.585,2.66
122,2.51,2.86
123,2.495,2.82
124,2.59,2.715
125,2.315,2.915
126,2.355,2.805
127,2.495,2.845
128,2.335,2.81
129,2.26,2.91
130,2.45,2.8
131,2.645,2.595
132,2.44,2.715
133,2.375,2.9
134,2.465,2.84
135,2.315,2.915
136,2.535,2.835
137,2.605,2.805
138,2.5,2.725
139,2.42,2.895
140,2.44,2.74
141,2.46,2.81
142,2.64,2.815
143,2.49,2.865
144,2.055,2.905
145,2.32,2.845
146,2.445,2.87
147,2.555,2.88
148,2.275,3.0
149,2.49,2.89
150,2.7,2.8
151,2.76,2.785
152,2.625,2.875
153,2.255,2.955
154,2.53,2.88
155,2.5,2.75
156,2.755,2.705
157,2.645,2.745
158,2.545,2.845
159,2.58,2.83
160,2.405,2.93
161,2.64,2.74
162,2.215,3.065
163,2.695,2.82
164,2.68,2.805
165,2.64,2.915
166,2.5,2.9
167,2.7,2.725
168,2.545,2.795
169,2.72,2.795
170,2.45,2.85
171,2.545,2.87
172,2.62,2.87
173,2.665,2.79
174,2.58,2.88
175,2.645,2.72
176,2.75,2.675
177,2.495,2.92
178,2.82,2.72
179,2.485,2.96
180,2.695,2.87
181,2.52,2.995
182,2.675,2.775
183,2.565,3.015
184,2.605,2.88
185,2.67,2.67
186,2.71,2.835
187,2.47,3.045
188,2.72,2.82
189,2.675,2.95
190,2.755,2.83
191,2.545,2.92
192,2.575,2.875
193,2.66,2.885
194,2.71,2.885
195,2.665,2.84
196,2.845,2.795
197,2.75,2.875
198,2.88,2.705
199,2.725,2.925
200,2.72,2.895
201,2.455,2.955
202,2.705,2.93
203,2.645,2.97
204,2.645,2.92
205,2.815,2.79
206,2.565,2.99
207,2.66,2.96
208,2.74,2.89
209,2.545,3.045
210,2.775,2.925
211,2.75,2.9
212,2.715,2.815
213,2.62,2.97
214,2.69,2.915
215,2.86,2.835
216,2.64,2.915
217,2.535,2.985
218,2.825,2.875
219,2.835,2.91
220,2.525,3.15
221,2.875,2.825
222,2.76,2.96
223,2.66,2.985
224,2.7,2.95
225,2.65,3.025
226,2.68,2.955
227,2.82,2.795
228,2.75,2.95
229,2.685,3.01
230,2.61,2.985
231,2.685,2.96
232,2.795,2.87
233,2.51,3.035
234,2.595,2.97
235,2.755,2.955
236,2.71,2.935
237,2.705,3.005
238,2.87,2.87
239,2.78,2.98
240,2.78,2.855
241,2.805,2.93
242,2.71,2.985
243,2.69,3.015
244,2.87,2.895
245,2.735,2.985
246,2.845,2.945
247,2.805,2.93
248,2.695,3.02
249,2.675,3.05
250,2.68,3.005
251,2.77,2.945
252,2.81,2.935
253,2.67,3.02
254,2.745,2.995
255,2.605,3.105
256,2.76,3.01
257,2.765,3.015
258,2.8,2.975
259,2.87,2.92
260,2.845,2.995
261,2.795,2.945
262,2.735,3.035
263,2.72,3.045
264,2.71,2.985
265,2.715,3.04
266,2.725,3.025
267,2.8,2.975
268,2.735,2.96
269,2.73,2.955
270,2.72,3.02
271,2.77,2.995
272,2.67,3.07
273,2.73,2.955
274,2.835,2.96
275,2.76,3.035
276,2.7,3.0
277,2.74,2.94
278,2.685,3.085
279,2.755,3.03
280,2.77,2.995
281,2.725,3.05
282,2.81,3.01
283,2.785,2.985
284,2.775,2.95
285,2.75,2.975
286,2.78,2.98
287,2.74,3.04
288,2.72,3.095
289,2.8,2.975
290,2.725,2.975
291,2.85,3.0
292,2.8,3.05
293,2.695,3.07
294,2.75,3.1
295,2.86,2.985
296,2.82,3.02
297,2.735,3.11
298,2.68,3.055
299,2.83,2.98
300,2.775,3.0
301,2.79,3.065
302,2.715,3.09
303,2.825,3.075
304,2.805,3.005
305,2.76,3.06
306,2.82,2.945
307,2.805,3.005
308,2.84,2.99
309,2.84,3.015
310,2.765,3.04
311,2.755,3.08
312,2.735,3.06
313,2.81,3.01
314,2.855,3.005
315,2.76,3.085
316,2.705,3.08
317,2.87,3.045
318,2.71,3.11
319,2.615,3.14
320,2.695,3.12
321,2.79,3.04
322,2.805,3.03
323,2.825,3.05
324,2.73,3.105
325,2.695,3.145
326,2.715,3.115
327,2.825,3.0
328,2.885,2.985
329,2.755,3.105
330,2.84,3.04
331,2.78,3.055
332,2.865,3.04
333,2.795,3.12
334,2.825,3.075
335,2.865,3.04
336,2.86,3.01
337,2.755,3.13
338,2.83,3.03
339,2.835,3.06
340,2.665,3.04
341,2.81,3.06
342,2.82,3.045
343,2.84,3.065
344,2.865,3.015
345,2.76,3.085
346,2.805,3.08
347,2.7,3.15
348,2.835,3.085
349,2.78,3.055
350,2.84,3.04
351,2.79,3.115
352,2.815,3.09
353,2.745,3.145
354,2.83,3.08
355,2.765,3.09
356,2.785,3.035
357,2.885,3.035
358,2.8,3.075
359,2.815,3.065
360,2.84,3.09
361,2.81,3.085
362,2.75,3.15
363,2.77,3.095
364,2.785,3.11
