,NeuralAgent_Student5_200cAgent,Student5_200cAgent
0,0.995,1.095
1,0.49,3.165
2,0.51,3.035
3,0.515,3.015
4,0.535,3.035
5,0.52,3.095
6,0.645,2.595
7,0.505,3.105
8,0.605,2.755
9,0.55,2.975
10,0.61,2.785
11,0.5,3.075
12,0.54,2.965
13,0.57,2.845
14,0.565,2.815
15,0.485,3.135
16,0.495,3.145
17,0.47,3.245
18,0.555,2.855
19,0.55,3.025
20,0.485,3.135
21,0.5,3.075
22,0.535,2.985
23,0.455,3.255
24,0.57,2.895
25,0.51,3.135
26,0.6,2.825
27,0.565,2.815
28,0.57,2.795
29,0.545,2.995
30,0.565,2.915
31,0.56,2.885
32,0.525,2.975
33,0.585,2.785
34,0.595,2.695
35,0.6,2.675
36,0.615,2.765
37,0.565,2.815
38,0.495,3.095
39,0.635,2.635
40,0.54,2.965
41,0.525,3.025
42,0.535,2.935
43,0.62,2.795
44,0.595,2.745
45,0.525,3.025
46,0.59,2.915
47,0.525,2.975
48,0.54,2.965
49,0.48,3.155
50,0.535,2.935
51,0.555,2.855
52,0.545,2.895
53,0.585,2.735
54,0.575,2.775
55,0.555,2.855
56,0.545,2.945
57,0.575,2.875
58,0.61,2.685
59,0.545,2.895
60,0.605,2.855
61,0.48,3.155
62,0.57,2.795
63,0.59,2.715
64,0.595,2.945
65,0.615,2.765
66,0.54,2.915
67,0.53,2.955
68,0.52,2.995
69,0.66,2.635
70,0.63,2.705
71,0.54,2.915
72,0.565,2.865
73,0.595,2.695
74,0.575,2.825
75,0.635,2.635
76,0.595,2.745
77,0.58,2.755
78,0.545,2.945
79,0.58,2.755
80,0.535,2.935
81,0.555,2.855
82,0.605,2.705
83,0.61,2.735
84,0.56,2.835
85,0.575,2.775
86,0.585,2.735
87,0.64,2.565
88,0.655,2.505
89,0.6,2.675
90,0.625,2.625
91,0.5,3.075
92,0.635,2.685
93,0.62,2.595
94,0.595,2.695
95,0.585,2.735
96,0.56,2.835
97,0.625,2.575
98,0.61,2.635
99,0.6,2.675
100,0.65,2.575
101,0.58,3.005
102,0.56,2.885
103,0.675,2.375
104,0.64,2.565
105,0.605,2.805
106,0.68,2.355
107,0.605,2.655
108,0.57,2.795
109,0.655,2.555
110,0.565,2.865
111,0.625,2.575
112,0.65,2.475
113,0.59,2.815
114,0.705,2.405
115,0.645,2.495
116,0.595,2.695
117,0.635,2.535
118,0.61,2.635
119,0.655,2.455
120,0.65,2.475
121,0.66,2.435
122,0.715,2.215
123,0.605,2.655
124,0.665,2.515
125,0.665,2.665
126,0.62,2.595
127,0.66,2.435
128,0.64,2.515
129,0.665,2.465
130,0.715,2.215
131,0.75,2.175
132,0.655,2.455
133,0.655,2.455
134,0.7,2.375
135,0.675,2.375
136,0.695,2.345
137,0.61,2.685
138,0.695,2.295
139,0.645,2.495
140,0.71,2.285
141,0.745,2.245
142,0.695,2.345
143,0.75,2.075
144,0.665,2.415
145,0.72,2.195
146,0.66,2.435
147,0.7,2.275
148,0.645,2.495
149,0.695,2.345
150,0.74,2.115
151,0.67,2.395
152,0.78,2.005
153,0.705,2.255
154,0.7,2.275
155,0.75,2.125
156,0.71,2.285
157,0.7,2.275
158,0.715,2.215
159,0.66,2.435
160,0.705,2.255
161,0.68,2.355
162,0.695,2.345
163,0.735,2.135
164,0.755,2.155
165,0.74,2.115
166,0.725,2.325
167,0.64,2.515
168,0.74,2.165
169,0.73,2.155
170,0.745,2.095
171,0.74,2.115
172,0.71,2.335
173,0.765,2.015
174,0.725,2.275
175,0.745,2.195
176,0.78,2.005
177,0.715,2.265
178,0.715,2.315
179,0.765,2.015
180,0.825,1.825
181,0.76,2.035
182,0.83,1.805
183,0.73,2.155
184,0.765,2.015
185,0.745,2.095
186,0.695,2.295
187,0.725,2.175
188,0.79,1.965
189,0.76,2.085
190,0.79,1.915
191,0.74,2.215
192,0.735,2.135
193,0.75,2.075
194,0.78,1.955
195,0.75,2.075
