,NeuralAgent_TitF2tatAgent_rng,TitF2tatAgent
0,1.89,1.34
1,3.105,1.855
2,3.18,1.73
3,3.085,1.885
4,3.105,1.73
5,3.165,1.84
6,3.06,1.86
7,3.115,1.965
8,3.145,1.82
9,2.995,1.795
10,3.39,1.79
11,3.12,1.895
12,2.795,1.745
13,3.21,1.785
14,3.33,1.93
15,3.22,1.97
16,3.355,1.98
17,3.2,1.95
18,2.955,1.78
19,2.955,1.73
20,3.145,1.82
21,3.27,1.87
22,3.03,1.73
23,3.17,1.795
24,2.975,1.825
25,3.12,1.92
26,3.08,1.83
27,3.075,1.8
28,3.225,1.8
29,3.185,1.735
30,2.985,1.735
31,3.15,1.925
32,3.15,1.825
33,3.11,1.835
34,3.085,1.885
35,3.065,1.815
36,3.09,1.815
37,2.985,1.66
38,2.985,1.785
39,3.135,1.785
40,3.095,1.77
41,2.98,1.855
42,2.905,1.78
43,2.93,1.655
44,3.2,1.825
45,2.945,1.77
46,2.995,1.82
47,3.11,1.76
48,3.13,1.905
49,3.125,1.9
50,2.885,1.81
51,3.19,1.865
52,3.2,1.85
53,3.205,1.805
54,3.02,1.745
55,3.03,1.83
56,3.19,1.79
57,3.165,1.815
58,2.86,1.735
59,3.19,1.84
60,3.01,1.785
61,3.085,1.71
62,3.065,1.79
63,3.14,1.74
64,3.0,1.75
65,3.055,1.88
66,3.19,1.89
67,3.065,1.79
68,3.06,1.81
69,3.245,1.82
70,3.055,1.705
71,3.095,1.82
72,3.09,1.865
73,3.065,1.765
74,3.14,1.89
75,2.965,1.765
76,3.055,1.805
77,2.94,1.79
78,3.16,1.76
79,3.135,1.76
80,2.955,1.83
81,2.865,1.765
82,2.975,1.725
83,3.345,1.895
84,2.79,1.69
85,2.89,1.665
86,3.035,1.81
87,2.93,1.705
88,2.96,1.71
89,2.875,1.675
90,2.73,1.705
91,3.01,1.71
92,3.15,1.75
93,3.1,1.75
94,3.0,1.825
95,3.11,1.835
96,2.875,1.675
97,3.065,1.715
98,3.065,1.79
99,3.01,1.785
100,2.97,1.72
101,3.125,1.925
102,2.935,1.71
103,2.98,1.805
104,2.86,1.76
105,2.955,1.78
106,3.135,1.785
107,2.85,1.7
108,3.045,1.77
109,2.975,1.75
110,3.075,1.825
111,2.965,1.74
112,2.92,1.695
113,2.945,1.745
114,3.075,1.775
115,3.115,1.74
116,3.19,1.915
117,2.925,1.7
118,3.085,1.935
119,3.12,1.745
120,3.025,1.725
121,3.03,1.755
122,2.96,1.71
123,2.92,1.72
124,3.075,1.725
125,3.03,1.78
126,3.14,1.69
127,2.895,1.72
128,2.93,1.705
129,2.895,1.595
130,3.145,1.845
131,2.92,1.645
132,3.045,1.795
133,2.895,1.77
134,2.965,1.84
135,2.97,1.745
136,2.84,1.69
137,3.07,1.77
138,3.005,1.68
139,2.94,1.715
140,2.625,1.6
141,3.045,1.695
142,2.895,1.645
143,2.86,1.61
144,2.88,1.73
145,2.81,1.635
146,3.02,1.695
147,2.795,1.645
148,2.68,1.58
149,2.81,1.61
150,2.845,1.645
151,2.935,1.71
152,2.815,1.69
153,3.04,1.74
154,3.005,1.63
155,2.78,1.68
156,2.765,1.615
157,3.035,1.71
158,2.905,1.555
159,2.925,1.675
160,3.06,1.76
161,2.615,1.565
162,2.695,1.645
163,2.965,1.69
164,2.81,1.66
165,2.745,1.645
166,2.915,1.715
167,2.88,1.63
168,2.79,1.665
169,2.93,1.705
170,2.67,1.545
171,2.625,1.55
172,3.02,1.72
173,2.505,1.555
174,2.535,1.535
175,2.735,1.56
176,2.63,1.58
177,2.775,1.575
178,2.925,1.725
179,2.765,1.64
180,2.895,1.645
181,2.815,1.615
182,2.8,1.55
183,2.85,1.575
184,2.6,1.6
185,2.52,1.595
186,2.63,1.555
187,2.845,1.62
188,2.615,1.665
189,2.65,1.575
190,2.755,1.655
191,2.795,1.57
192,2.83,1.605
193,2.535,1.61
194,2.805,1.605
195,2.6,1.575
196,2.855,1.655
197,2.75,1.525
198,2.73,1.63
199,2.56,1.535
200,2.805,1.68
201,2.56,1.485
202,2.4,1.475
203,2.615,1.615
204,2.625,1.525
205,2.445,1.52
206,2.705,1.555
207,2.4,1.525
208,2.84,1.565
209,2.5,1.5
210,2.42,1.445
211,2.8,1.575
212,2.425,1.475
213,2.61,1.635
214,2.63,1.48
215,2.57,1.57
216,2.715,1.615
217,2.7,1.625
218,2.465,1.465
219,2.395,1.495
220,2.63,1.53
221,2.61,1.535
222,2.545,1.545
223,2.61,1.56
224,2.51,1.46
225,2.555,1.505
226,2.615,1.515
227,2.72,1.62
228,2.53,1.48
229,2.715,1.64
230,2.665,1.515
231,2.64,1.515
232,2.835,1.56
233,2.61,1.535
234,2.54,1.54
235,2.175,1.425
236,2.475,1.5
237,2.46,1.51
238,2.325,1.475
239,2.45,1.45
240,2.585,1.51
241,2.61,1.535
242,2.66,1.51
243,2.67,1.545
244,2.375,1.475
245,2.52,1.47
246,2.48,1.455
247,2.71,1.535
248,2.325,1.375
249,2.405,1.455
250,2.405,1.48
251,2.28,1.38
252,2.32,1.42
253,2.7,1.525
254,2.43,1.48
255,2.52,1.495
256,2.47,1.42
257,2.61,1.46
258,2.46,1.41
259,2.47,1.52
260,2.35,1.45
261,2.53,1.505
262,2.555,1.455
263,2.39,1.49
264,2.475,1.475
265,2.23,1.405
266,2.625,1.55
267,2.295,1.42
268,2.27,1.37
269,2.46,1.51
270,2.455,1.48
271,2.435,1.51
272,2.43,1.405
273,2.255,1.43
274,2.435,1.485
275,2.17,1.395
276,2.2,1.375
277,2.085,1.335
278,2.235,1.41
279,2.19,1.34
280,2.255,1.43
281,2.435,1.435
282,2.49,1.415
283,2.29,1.39
284,2.165,1.365
285,2.21,1.36
286,2.14,1.39
287,2.135,1.335
288,2.3,1.425
